frame,p1_post_positionX,p1_post_positionY,p1_post_facingDirection,p1_post_percent,p1_post_shieldSize,p1_post_stocksRemaining,p1_post_lCancelStatus,p2_post_positionX,p2_post_positionY,p2_post_facingDirection,p2_post_percent,p2_post_shieldSize,p2_post_stocksRemaining,p2_post_lCancelStatus,stageId,winner
60,-30.258113861083984,13.764094352722168,-1,0.0,60.0,4,,52.29541015625,0.00010013580322265625,-1,0.0,60.0,4,,32,False
120,35.566375732421875,9.999999747378752e-05,-1,0.0,60.0,4,,29.19232177734375,10.35010051727295,1,0.0,58.670005798339844,4,,32,False
180,19.693126678466797,9.999999747378752e-05,-1,0.0,53.1400146484375,4,,47.40512466430664,9.999999747378752e-05,1,0.0,60.0,4,,32,False
240,-31.14057159423828,19.840099334716797,-1,0.0,57.339996337890625,4,,34.821678161621094,9.999999747378752e-05,-1,0.0,60.0,4,,32,False
300,-41.4427375793457,9.999999747378752e-05,-1,0.0,60.0,4,,-30.034217834472656,6.000098705291748,-1,12.0,60.0,4,,32,False
360,-101.66104125976562,-17.339900970458984,1,14.0,60.0,4,,-75.69365692138672,9.999999747378752e-05,1,12.0,58.8800048828125,4,,32,False
420,-89.576416015625,7.285998344421387,-1,14.0,60.0,4,,-75.67037200927734,9.999999747378752e-05,1,12.0,60.0,4,,32,False
480,-49.461509704589844,3.791390895843506,-1,18.81999969482422,60.0,4,,-65.88187408447266,9.999999747378752e-05,1,12.0,54.25999450683594,4,,32,False
540,-33.37555694580078,8.64009952545166,1,18.81999969482422,56.50001525878906,4,,-18.008359909057617,9.999999747378752e-05,1,12.0,57.05998229980469,4,,32,False
600,-53.71955871582031,9.999999747378752e-05,1,18.81999969482422,60.0,4,,-2.1167659759521484,9.999999747378752e-05,1,12.0,60.0,4,,32,False
660,-76.11882019042969,0.9427785277366638,1,27.189998626708984,60.0,4,,-61.309288024902344,9.999999747378752e-05,-1,12.0,60.0,4,,32,False
720,-123.4964370727539,-9.791900634765625,1,37.93000030517578,60.0,4,,-58.04570388793945,9.999999747378752e-05,-1,12.0,60.0,4,,32,False
780,-142.56776428222656,-45.38387680053711,-1,37.93000030517578,60.0,4,,-72.12384796142578,10.45009994506836,-1,12.0,60.0,4,,32,False
840,-146.16452026367188,-18.471532821655273,-1,37.93000030517578,60.0,4,,-94.01634979248047,24.0161075592041,1,12.0,60.0,4,,32,False
900,-145.54469299316406,2.832801580429077,1,37.93000030517578,60.0,4,,-79.44677734375,0.00010013580322265625,1,12.0,60.0,4,,32,False
960,-142.64454650878906,23.143136978149414,1,37.93000030517578,60.0,4,,-76.97869873046875,9.999999747378752e-05,1,12.0,60.0,4,,32,False
1020,-106.85185241699219,18.783620834350586,1,40.93000030517578,60.0,4,,-31.166521072387695,9.999999747378752e-05,-1,12.0,60.0,4,,32,False
