frame,p1_post_positionX,p1_post_positionY,p1_post_facingDirection,p1_post_percent,p1_post_shieldSize,p1_post_stocksRemaining,p1_post_lCancelStatus,p2_post_positionX,p2_post_positionY,p2_post_facingDirection,p2_post_percent,p2_post_shieldSize,p2_post_stocksRemaining,p2_post_lCancelStatus,stageId,winner
15,26.061723709106445,35.42609405517578,1,3.0,60.0,4,0,4.033527374267578,3.6800999641418457,1,0.0,60.0,4,0,8,False
30,45.90672302246094,28.4960880279541,1,3.0,60.0,4,0,15.203176498413086,31.28009796142578,1,0.0,60.0,4,0,8,False
45,49.448097229003906,23.450098037719727,1,3.0,60.0,4,0,26.1070556640625,9.999999747378752e-05,1,0.0,60.0,4,0,8,False
60,42.83734893798828,12.458097457885742,1,3.0,60.0,4,0,29.129465103149414,23.000099182128906,1,0.0,59.58000183105469,4,0,8,False
75,56.065696716308594,-3.4999001026153564,1,3.0,60.0,4,0,40.14971923828125,22.180097579956055,1,0.0,60.0,4,0,8,False
90,62.536128997802734,6.356099605560303,1,3.0,60.0,4,0,44.07096481323242,23.450098037719727,1,0.0,58.8800048828125,4,0,8,False
105,68.62989044189453,16.916099548339844,1,3.0,60.0,4,0,44.07096481323242,23.450098037719727,1,0.0,54.680023193359375,4,0,8,False
120,52.108890533447266,4.116096019744873,1,3.0,60.0,4,0,44.07096481323242,23.450098037719727,1,0.0,50.48004150390625,4,0,8,False
135,57.28246307373047,-3.767080068588257,1,3.0,60.0,4,0,44.07096481323242,23.450098037719727,1,0.0,46.280059814453125,4,0,8,False
150,62.216094970703125,3.4666590690612793,1,3.0,60.0,4,0,46.814964294433594,33.90009307861328,1,0.0,46.63005828857422,4,0,8,False
165,68.85358428955078,12.856656074523926,1,3.0,60.0,4,0,52.31637191772461,-2.7324776649475098,1,0.0,47.6800537109375,4,0,8,False
180,73.81945037841797,7.846652030944824,1,3.0,60.0,4,0,52.416229248046875,-2.7532811164855957,-1,0.0,48.73004913330078,4,0,8,False
195,81.54178619384766,14.410465240478516,-1,12.0,60.0,4,0,52.416229248046875,-2.7532811164855957,-1,0.0,49.78004455566406,4,0,8,False
210,87.28285217285156,15.955947875976562,-1,12.0,60.0,4,0,52.416229248046875,-2.7532811164855957,-1,0.0,50.830039978027344,4,0,8,False
225,76.01644897460938,30.42881965637207,-1,12.0,60.0,4,0,41.882408142089844,-0.5587348937988281,-1,0.0,51.880035400390625,4,0,8,False
240,76.6329574584961,35.07881546020508,-1,12.0,60.0,4,0,17.244800567626953,28.980098724365234,-1,0.0,52.930030822753906,4,0,8,False
255,77.34173583984375,38.43281555175781,-1,12.0,60.0,4,0,-2.5552053451538086,18.630096435546875,-1,0.0,53.98002624511719,4,0,8,False
270,59.193782806396484,47.042816162109375,-1,12.0,60.0,4,0,-14.81646728515625,9.999999747378752e-05,1,0.0,55.03002166748047,4,0,8,False
285,46.96840286254883,41.252811431884766,-1,12.0,60.0,4,0,11.709634780883789,9.999999747378752e-05,1,0.0,56.08001708984375,4,0,8,False
300,39.72339630126953,53.97281265258789,-1,12.0,60.0,4,0,29.02804946899414,9.999999747378752e-05,-1,0.0,57.13001251220703,4,0,8,False
315,53.55539321899414,52.292808532714844,-1,12.0,60.0,4,0,11.817977905273438,9.999999747378752e-05,1,0.0,58.18000793457031,4,0,8,False
330,38.28914260864258,36.70880889892578,-1,12.0,60.0,4,0,39.362510681152344,18.63010025024414,1,0.0,59.230003356933594,4,0,8,False
345,43.612640380859375,41.9052734375,1,17.0,60.0,4,0,45.94639587402344,25.417612075805664,-1,9.0,60.0,4,0,8,False
360,47.31406784057617,37.386573791503906,1,17.0,60.0,4,0,45.401981353759766,23.762096405029297,-1,9.0,60.0,4,0,8,False
375,47.82072830200195,23.450098037719727,1,17.0,60.0,4,0,42.759735107421875,55.50209426879883,-1,9.0,60.0,4,0,8,False
390,47.82072830200195,23.450098037719727,1,17.0,57.760009765625,4,0,34.75448226928711,35.6360969543457,-1,9.0,60.0,4,0,8,False
405,47.82072830200195,23.450098037719727,1,17.0,53.560028076171875,4,0,35.845733642578125,23.450098037719727,-1,9.0,60.0,4,0,8,False
420,49.199703216552734,24.717758178710938,-1,32.0,53.97245407104492,4,0,37.08473205566406,14.10009765625,-1,9.0,60.0,4,0,8,False
435,65.48196411132812,31.801347732543945,-1,32.0,55.0224494934082,4,0,39.179481506347656,9.999999747378752e-05,-1,9.0,60.0,4,0,8,False
450,67.81278228759766,36.87373733520508,-1,32.0,56.072444915771484,4,0,38.468482971191406,3.6800999641418457,1,9.0,60.0,4,0,8,False
465,60.753509521484375,49.07359313964844,-1,32.0,57.122440338134766,4,0,30.256732940673828,31.28009796142578,1,9.0,60.0,4,0,8,False
480,57.24863052368164,45.98358917236328,-1,32.0,58.17243576049805,4,0,24.179983139038086,5.030097484588623,1,9.0,60.0,4,0,8,False
495,47.77137756347656,24.437597274780273,-1,32.0,59.22243118286133,4,0,21.384361267089844,9.999999747378752e-05,1,9.0,60.0,4,0,8,False
510,45.283443450927734,22.258098602294922,-1,32.0,58.59243392944336,4,0,36.50172805786133,9.999999747378752e-05,-1,9.0,60.0,4,0,8,False
525,27.628435134887695,5.958096504211426,-1,32.0,59.64242935180664,4,0,41.3760986328125,-0.45325374603271484,-1,9.0,60.0,4,0,8,False
540,13.185012817382812,25.442405700683594,1,40.369998931884766,60.0,4,0,41.3760986328125,-0.45325374603271484,-1,9.0,60.0,4,0,8,False
555,1.2300777435302734,36.70027160644531,1,40.369998931884766,60.0,4,0,22.09970474243164,9.999999747378752e-05,-1,9.0,60.0,4,0,8,False
570,-5.450331211090088,35.266666412353516,1,52.369998931884766,60.0,4,0,0.4422008991241455,26.45009994506836,-1,9.0,60.0,4,0,8,False
585,-30.1094913482666,46.93594741821289,1,52.369998931884766,60.0,4,0,-14.957802772521973,17.680099487304688,-1,9.0,60.0,4,0,8,False
600,-51.67304611206055,45.715736389160156,1,52.369998931884766,60.0,4,0,-31.47655487060547,9.999999747378752e-05,-1,9.0,60.0,4,0,8,False
615,-67.94951629638672,51.58651351928711,1,52.369998931884766,60.0,4,0,-51.24018096923828,40.29610061645508,-1,9.0,60.0,4,0,8,False
630,-87.5177001953125,65.22599792480469,1,52.369998931884766,60.0,4,0,-51.647056579589844,58.236106872558594,-1,9.0,60.0,4,0,8,False
645,-71.87296295166016,57.96800231933594,1,52.369998931884766,60.0,4,0,-42.36793899536133,23.450098037719727,-1,9.0,60.0,4,0,8,False
660,-70.35220336914062,33.96802520751953,1,52.369998931884766,60.0,4,0,-20.60894203186035,34.07009506225586,-1,9.0,60.0,4,0,8,False
675,-54.0125617980957,27.283174514770508,1,55.25,60.0,4,0,-3.5006871223449707,0.00010013580322265625,-1,9.0,60.0,4,0,8,False
690,-45.30535125732422,23.450098037719727,-1,55.25,60.0,4,0,-8.002667427062988,9.999999747378752e-05,1,9.0,60.0,4,0,8,False
