frame,p1_post_positionX,p1_post_positionY,p1_post_facingDirection,p1_post_percent,p1_post_shieldSize,p1_post_stocksRemaining,p1_post_lCancelStatus,p2_post_positionX,p2_post_positionY,p2_post_facingDirection,p2_post_percent,p2_post_shieldSize,p2_post_stocksRemaining,p2_post_lCancelStatus,stageId,winner
15,-13.376901626586914,29.066892623901367,-1,0.0,60.0,4,0,-7.470920562744141,51.42539978027344,-1,0.0,60.0,4,0,28,False
30,-9.701851844787598,43.316890716552734,-1,0.0,60.0,4,0,-31.485923767089844,58.04539489746094,-1,0.0,60.0,4,0,28,False
45,-14.566352844238281,38.21489715576172,-1,0.0,60.0,4,0,-49.1169319152832,7.045386791229248,-1,0.0,60.0,4,0,28,False
60,-11.971980094909668,14.214897155761719,-1,0.0,60.0,4,0,-57.7156982421875,0.008899999782443047,-1,0.0,60.0,4,0,28,False
75,-14.333105087280273,19.760894775390625,-1,0.0,60.0,4,0,-44.92069625854492,0.008899999782443047,1,0.0,60.0,4,0,28,False
90,-25.561973571777344,23.77489471435547,-1,0.0,60.0,4,0,-29.463191986083984,18.638900756835938,1,12.0,60.0,4,0,28,False
105,-17.1728515625,18.94489097595215,-1,0.0,60.0,4,0,-20.0081729888916,12.824554443359375,1,12.0,60.0,4,0,28,False
120,2.604647636413574,1.3808887004852295,-1,0.0,60.0,4,0,-17.437713623046875,0.008899999782443047,1,12.0,60.0,4,0,28,False
135,12.899648666381836,4.6168999671936035,-1,0.0,60.0,4,0,-12.9365873336792,23.008899688720703,1,12.0,60.0,4,0,28,False
150,20.469024658203125,23.846899032592773,-1,0.0,60.0,4,0,-12.226960182189941,45.96289825439453,1,12.0,60.0,4,0,28,False
165,17.650226593017578,34.196895599365234,-1,0.0,60.0,4,0,-7.784106731414795,51.42539978027344,1,12.0,60.0,4,0,28,False
180,4.3730268478393555,30.146888732910156,-1,0.0,60.0,4,0,13.194764137268066,61.2953987121582,1,12.0,60.0,4,0,28,False
195,-12.921730041503906,29.43547248840332,-1,0.0,60.0,4,0,26.1765193939209,40.43539047241211,1,12.0,60.0,4,0,28,False
210,-20.01413917541504,30.76598358154297,-1,0.0,60.0,4,0,26.827774047851562,0.008899999782443047,1,12.0,60.0,4,0,28,False
225,-23.949369430541992,11.623241424560547,-1,0.0,60.0,4,0,11.165271759033203,0.008899999782443047,1,12.0,60.0,4,0,28,False
240,-16.229721069335938,23.26923942565918,1,0.0,60.0,4,0,33.89777755737305,16.10890007019043,-1,12.0,60.0,4,0,28,False
255,0.5526543855667114,22.5732364654541,1,0.0,60.0,4,0,42.94841384887695,29.908897399902344,-1,12.0,60.0,4,0,28,False
270,-3.013343572616577,0.008900046348571777,1,0.0,60.0,4,0,33.63929748535156,30.242599487304688,-1,12.0,60.0,4,0,28,False
285,-14.04746150970459,0.008899999782443047,-1,0.0,60.0,4,0,10.239294052124023,61.292598724365234,-1,12.0,60.0,4,0,28,False
300,-27.094266891479492,1.058899998664856,-1,0.0,60.0,4,0,-8.480712890625,51.42539978027344,-1,12.0,60.0,4,0,28,False
315,-39.915016174316406,9.128896713256836,-1,0.0,60.0,4,0,-30.480714797973633,62.0453987121582,-1,12.0,60.0,4,0,28,False
330,-31.255638122558594,0.008899999782443047,-1,0.0,59.44000244140625,4,0,-51.10346603393555,20.6453857421875,-1,12.0,60.0,4,0,28,False
345,-23.172138214111328,9.864899635314941,-1,0.0,59.090003967285156,4,0,-59.78247833251953,0.008899999782443047,-1,12.0,60.0,4,0,28,False
360,-5.339011192321777,20.42490005493164,-1,0.0,60.0,4,0,-63.92372512817383,0.008899999782443047,1,12.0,60.0,4,0,28,False
375,-19.142011642456055,16.584896087646484,-1,0.0,60.0,4,0,-45.165313720703125,0.008900046348571777,1,12.0,60.0,4,0,28,False
390,-37.3487434387207,10.775145530700684,-1,0.0,60.0,4,0,-57.743202209472656,0.008899999782443047,1,12.0,60.0,4,0,28,False
405,-47.637210845947266,14.519840240478516,-1,0.0,60.0,4,0,-57.743202209472656,0.008899999782443047,1,12.0,60.0,4,0,28,False
420,-44.880985260009766,13.46296501159668,-1,0.0,60.0,4,0,-57.743202209472656,0.008899999782443047,1,12.0,60.0,4,0,28,False
435,-49.85323715209961,1.4664338827133179,-1,0.0,60.0,4,0,-47.643775939941406,3.3874387741088867,1,22.920000076293945,60.0,4,0,28,False
450,-49.650733947753906,0.008899999782443047,-1,0.0,60.0,4,0,-39.952842712402344,0.008899927139282227,1,22.920000076293945,60.0,4,0,28,False
465,-45.78241729736328,0.008899999782443047,1,0.0,60.0,4,0,-25.68752670288086,0.008899999782443047,1,22.920000076293945,60.0,4,0,28,False
480,-30.860427856445312,0.008899999782443047,1,0.0,60.0,4,0,-5.84112548828125,0.008899999782443047,-1,22.920000076293945,60.0,4,0,28,False
495,-26.747928619384766,0.008899999782443047,1,0.0,60.0,4,0,10.767474174499512,0.008899999782443047,1,22.920000076293945,60.0,4,0,28,False
510,-26.747928619384766,0.008899999782443047,1,0.0,60.0,4,0,13.55997085571289,0.008899999782443047,-1,22.920000076293945,60.0,4,0,28,False
525,-38.82848358154297,0.008899999782443047,1,0.0,60.0,4,0,12.482349395751953,0.008899999782443047,-1,22.920000076293945,60.0,4,0,28,False
540,-47.07941436767578,0.008899999782443047,1,0.0,59.090003967285156,4,0,21.0512752532959,0.008899999782443047,-1,22.920000076293945,60.0,4,0,28,False
555,-55.521419525146484,0.008899999782443047,1,0.0,59.090003967285156,4,0,34.43218994140625,7.028899192810059,-1,22.920000076293945,60.0,4,0,28,False
570,-37.684661865234375,17.28890037536621,1,0.0,60.0,4,0,37.98765563964844,0.008899999782443047,-1,22.920000076293945,60.0,4,0,28,False
585,-18.73778533935547,14.408897399902344,1,0.0,60.0,4,0,38.78765869140625,27.838899612426758,-1,22.920000076293945,60.0,4,0,28,False
600,-12.516409873962402,0.008899999782443047,-1,0.0,60.0,4,0,41.553672790527344,30.242599487304688,-1,22.920000076293945,60.0,4,0,28,False
615,-5.5015387535095215,12.104899406433105,-1,0.0,60.0,4,0,56.03618621826172,30.242599487304688,-1,22.920000076293945,60.0,4,0,28,False
630,-4.666292190551758,20.74489974975586,-1,0.0,60.0,4,0,49.15705108642578,30.242599487304688,-1,22.920000076293945,60.0,4,0,28,False
645,14.908631324768066,29.222896575927734,-1,0.0,60.0,4,0,25.027053833007812,58.072601318359375,-1,22.920000076293945,60.0,4,0,28,False
