frame,p1_post_positionX,p1_post_positionY,p1_post_facingDirection,p1_post_percent,p1_post_shieldSize,p1_post_stocksRemaining,p1_post_lCancelStatus,p2_post_positionX,p2_post_positionY,p2_post_facingDirection,p2_post_percent,p2_post_shieldSize,p2_post_stocksRemaining,p2_post_lCancelStatus,stageId,winner
15,1.3816858530044556,20.160097122192383,-1,0.0,60.0,4,0,46.4892463684082,4.420098304748535,-1,0.0,60.0,4,0,31,True
30,16.25231170654297,4.608093738555908,-1,3.0,60.0,4,0,46.4892463684082,7.130100250244141,-1,0.0,60.0,4,0,31,True
45,10.634440422058105,9.999999747378752e-05,-1,3.0,60.0,4,0,46.4892463684082,31.28009796142578,-1,0.0,60.0,4,0,31,True
60,18.277565002441406,15.808098793029785,-1,3.0,60.0,4,0,42.3329963684082,27.20009994506836,-1,0.0,60.0,4,0,31,True
75,-0.38243746757507324,20.608097076416016,-1,3.0,60.0,4,0,33.48908615112305,30.88010025024414,-1,0.0,60.0,4,0,31,True
90,-18.99181365966797,5.12009334564209,-1,3.0,60.0,4,0,10.670333862304688,58.480098724365234,-1,0.0,60.0,4,0,31,True
105,-30.52610206604004,0.00010001659393310547,-1,3.0,60.0,4,0,1.4655768871307373,53.670101165771484,-1,0.0,59.720001220703125,4,0,31,True
120,-42.17918395996094,1.600100040435791,-1,3.0,60.0,4,0,3.1658191680908203,19.95010757446289,-1,0.0,60.0,4,0,31,True
135,-23.499422073364258,17.92009925842285,-1,5.730000019073486,60.0,4,0,7.341318130493164,9.999999747378752e-05,1,0.0,60.0,4,0,31,True
150,-5.791898727416992,33.76609802246094,-1,5.730000019073486,60.0,4,0,27.353321075439453,10.650099754333496,-1,0.0,60.0,4,0,31,True
165,-3.027021884918213,40.27609634399414,-1,5.730000019073486,60.0,4,0,31.37632179260254,9.999999747378752e-05,-1,0.0,60.0,4,0,31,True
180,7.016854286193848,29.57009506225586,1,17.729999542236328,60.0,4,0,13.989521980285645,26.45009994506836,-1,0.0,60.0,4,0,31,True
195,-8.021827697753906,28.268661499023438,1,17.729999542236328,60.0,4,0,-3.9504826068878174,10.88010025024414,-1,0.0,60.0,4,0,31,True
210,-5.024043083190918,10.218046188354492,1,17.729999542236328,60.0,4,0,-17.150489807128906,9.999999747378752e-05,-1,0.0,60.0,4,0,31,True
225,7.7883687019348145,13.968859672546387,-1,26.729999542236328,60.0,4,0,-22.863258361816406,-1.386676549911499,1,12.0,60.0,4,0,31,True
240,14.370075225830078,20.935274124145508,-1,26.729999542236328,60.0,4,0,-13.166345596313477,9.999999747378752e-05,1,12.0,60.0,4,0,31,True
255,25.83023452758789,33.2600212097168,-1,26.729999542236328,60.0,4,0,11.471156120300293,28.980098724365234,1,12.0,60.0,4,0,31,True
270,41.65207290649414,35.56273651123047,-1,35.0099983215332,60.0,4,0,13.823310852050781,32.956756591796875,1,24.0,60.0,4,0,31,True
285,47.91769027709961,27.20009994506836,-1,35.0099983215332,60.0,4,0,8.878120422363281,-0.3388400077819824,1,24.0,60.0,4,0,31,True
300,42.410003662109375,27.20009994506836,1,35.0099983215332,60.0,4,0,1.4538671970367432,9.999999747378752e-05,-1,24.0,60.0,4,0,31,True
315,36.859073638916016,27.20009994506836,1,35.0099983215332,57.83000946044922,4,0,-21.353134155273438,6.6200995445251465,1,24.0,60.0,4,0,31,True
330,23.296977996826172,27.20009994506836,1,35.0099983215332,58.8800048828125,4,0,-34.18852615356445,5.610099792480469,1,24.0,60.0,4,0,31,True
345,22.205116271972656,27.20009994506836,1,35.0099983215332,57.92243576049805,4,0,-38.02046585083008,2.610097885131836,1,24.0,60.0,4,0,31,True
360,26.176193237304688,27.20009994506836,1,35.0099983215332,56.541587829589844,4,0,-38.28231430053711,13.340100288391113,1,24.0,60.0,4,0,31,True
375,36.333740234375,27.20009994506836,1,35.0099983215332,55.49159240722656,4,0,-38.28231430053711,30.590097427368164,1,24.0,60.0,4,0,31,True
390,35.829742431640625,27.20009994506836,1,35.0099983215332,50.45159912109375,4,0,-30.331064224243164,27.20009994506836,1,24.0,60.0,4,0,31,True
405,36.333740234375,27.20009994506836,1,35.0099983215332,50.9687385559082,4,0,-8.637561798095703,57.79010009765625,1,24.0,60.0,4,0,31,True
420,40.76661682128906,20.896099090576172,1,35.0099983215332,52.018733978271484,4,0,4.926193714141846,54.40010070800781,1,24.0,60.0,4,0,31,True
435,40.434871673583984,1.908097743988037,1,35.0099983215332,53.068729400634766,4,0,0.4945731461048126,42.12010192871094,-1,24.0,60.0,4,0,31,True
450,31.813875198364258,3.8160996437072754,1,35.0099983215332,54.11872482299805,4,0,8.228950500488281,0.35010766983032227,-1,24.0,60.0,4,0,31,True
465,18.036758422851562,9.030097961425781,-1,43.28999710083008,55.16872024536133,4,0,11.709329605102539,9.999999747378752e-05,-1,24.0,60.0,4,0,31,True
480,36.68728256225586,37.67074203491211,-1,43.28999710083008,56.21871566772461,4,0,11.709329605102539,9.999999747378752e-05,-1,24.0,60.0,4,0,31,True
495,47.825199127197266,44.69707489013672,-1,43.28999710083008,57.26871109008789,4,0,17.424453735351562,25.760103225708008,-1,24.0,60.0,4,0,31,True
