frame,p1_post_positionX,p1_post_positionY,p1_post_facingDirection,p1_post_percent,p1_post_shieldSize,p1_post_stocksRemaining,p1_post_lCancelStatus,p2_post_positionX,p2_post_positionY,p2_post_facingDirection,p2_post_percent,p2_post_shieldSize,p2_post_stocksRemaining,p2_post_lCancelStatus,stageId,winner
60,-15.315256118774414,0.008899999782443047,1,0.0,47.260009765625,4,0,6.4868292808532715,0.008899999782443047,1,12.0,60.0,4,0,28,False
120,-27.252315521240234,0.008899999782443047,1,0.0,51.17999267578125,4,0,30.84769058227539,0.008899999782443047,1,21.0,60.0,4,0,28,False
180,-33.880435943603516,27.560897827148438,-1,0.0,55.379974365234375,4,0,-3.5498154163360596,0.008899999782443047,1,21.0,60.0,4,0,28,False
240,-55.24919509887695,12.650200843811035,-1,0.0,59.5799560546875,4,0,-29.571422576904297,26.458900451660156,1,21.0,60.0,4,0,28,False
300,-38.94369125366211,8.264892578125,-1,0.0,60.0,4,0,27.016761779785156,0.008899999782443047,1,21.0,60.0,4,0,28,False
360,-28.77222442626953,27.569190979003906,1,2.0,53.16987228393555,4,0,-28.82010841369629,0.008899999782443047,-1,21.0,60.0,4,0,28,False
420,-25.659387588500977,82.5044937133789,-1,24.290000915527344,57.36985397338867,4,0,-39.95048522949219,32.328895568847656,-1,21.0,60.0,4,0,28,False
480,-23.911331176757812,96.69773864746094,-1,28.84000015258789,60.0,4,0,-7.29127311706543,51.42539978027344,1,21.0,60.0,4,0,28,False
540,-56.76664733886719,18.493793487548828,-1,28.84000015258789,60.0,4,0,-28.789840698242188,0.008899999782443047,1,21.0,59.540428161621094,4,0,28,False
600,-37.38076400756836,0.008899999782443047,-1,28.84000015258789,59.30799865722656,4,0,-7.714654922485352,0.008899999782443047,1,21.0,60.0,4,0,28,False
660,-8.569599151611328,41.94816970825195,1,40.84000015258789,60.0,4,0,-4.7025065422058105,22.824901580810547,1,21.0,60.0,4,0,28,False
720,53.42721176147461,44.733402252197266,-1,55.84000015258789,60.0,4,0,31.209495544433594,81.32540130615234,1,21.0,60.0,4,0,28,False
780,53.20206832885742,0.008899999782443047,-1,55.84000015258789,52.37001037597656,4,0,45.797271728515625,0.008899999782443047,1,21.0,60.0,4,0,28,False
840,69.64981079101562,3.14490008354187,1,55.84000015258789,56.56999206542969,4,0,103.63380432128906,-24.376859664916992,-1,31.0,60.0,4,0,28,False
900,82.53028106689453,35.77489471435547,1,55.84000015258789,60.0,4,0,84.36686706542969,29.148866653442383,-1,43.0,60.0,4,0,28,False
960,75.72598266601562,0.008899999782443047,1,55.84000015258789,60.0,4,0,73.29683685302734,3.5362493991851807,1,51.0,60.0,4,0,28,False
