frame,p1_post_positionX,p1_post_positionY,p1_post_facingDirection,p1_post_percent,p1_post_shieldSize,p1_post_stocksRemaining,p1_post_lCancelStatus,p2_post_positionX,p2_post_positionY,p2_post_facingDirection,p2_post_percent,p2_post_shieldSize,p2_post_stocksRemaining,p2_post_lCancelStatus,stageId,winner
15,8.570242881774902,33.6100959777832,1,0.0,60.0,4,0,25.40343475341797,10.35010051727295,1,0.0,60.0,4,0,3,False
30,-1.428884744644165,13.336090087890625,1,0.0,60.0,4,0,33.10343551635742,25.000099182128906,1,0.0,60.0,4,0,3,False
45,10.856164932250977,15.706087112426758,1,0.0,60.0,4,0,32.39243698120117,27.100099563598633,-1,0.0,60.0,4,0,3,False
60,28.398733139038086,24.136085510253906,1,0.0,60.0,4,0,21.947431564331055,31.000097274780273,-1,0.0,60.0,4,0,3,False
75,40.38814926147461,14.73319149017334,-1,15.0,60.0,4,0,17.748804092407227,9.700098037719727,-1,0.0,60.0,4,0,3,False
90,50.82234573364258,7.460264682769775,-1,15.0,60.0,4,0,14.546302795410156,9.999999747378752e-05,-1,0.0,60.0,4,0,3,False
105,59.809288024902344,9.999999747378752e-05,-1,15.0,60.0,4,0,33.996307373046875,9.999999747378752e-05,1,0.0,60.0,4,0,3,False
120,73.05738067626953,9.999999747378752e-05,-1,15.0,60.0,4,0,65.26881408691406,9.999999747378752e-05,1,0.0,60.0,4,0,3,False
135,91.54432678222656,-0.06390000134706497,-1,20.0,60.0,4,0,77.11881256103516,9.999999747378752e-05,1,0.0,60.0,4,0,3,False
150,117.5318374633789,-8.703900337219238,-1,20.0,60.0,4,0,78.72403717041016,24.840099334716797,1,0.0,60.0,4,0,3,False
165,127.14004516601562,-1.759900450706482,-1,20.0,60.0,4,0,69.1397933959961,13.590099334716797,1,0.0,60.0,4,0,3,False
180,116.55294036865234,5.71009635925293,-1,20.0,60.0,4,0,68.592041015625,9.999999747378752e-05,1,0.0,60.0,4,0,3,False
