frame,p1_post_positionX,p1_post_positionY,p1_post_facingDirection,p1_post_percent,p1_post_shieldSize,p1_post_stocksRemaining,p1_post_lCancelStatus,p2_post_positionX,p2_post_positionY,p2_post_facingDirection,p2_post_percent,p2_post_shieldSize,p2_post_stocksRemaining,p2_post_lCancelStatus,stageId,winner
60,22.238096237182617,24.44059181213379,1,0.0,60.0,4,0,-35.01268005371094,0.008899999782443047,-1,0.0,60.0,4,0,28,False
120,26.02962303161621,20.80889892578125,1,0.0,60.0,4,0,-18.261367797851562,0.008899999782443047,1,0.0,60.0,4,0,28,False
180,-14.301624298095703,8.618895530700684,1,3.0,60.0,4,0,-46.33659362792969,0.008899999782443047,1,0.0,60.0,4,0,28,False
240,46.96770095825195,1.6089000701904297,1,3.0,60.0,4,0,13.534770965576172,0.008899999782443047,-1,0.0,60.0,4,0,28,False
300,46.71907424926758,2.0448999404907227,1,3.0,60.0,4,0,-43.28055953979492,9.368898391723633,1,0.0,60.0,4,0,28,False
360,29.426488876342773,15.538888931274414,1,8.220000267028809,60.0,4,0,-44.96956253051758,0.008899999782443047,1,0.0,60.0,4,0,28,False
420,-0.6535156965255737,12.488895416259766,1,8.220000267028809,60.0,4,0,-23.55267333984375,0.008899999782443047,1,0.0,60.0,4,0,28,False
480,-9.318892478942871,6.508893966674805,1,8.220000267028809,60.0,4,0,-35.46938705444336,13.348899841308594,1,12.0,48.94001770019531,4,0,28,False
540,-37.29289627075195,0.008899999782443047,1,8.220000267028809,60.0,4,0,-54.674049377441406,0.008899999782443047,-1,12.0,53.13999938964844,4,0,28,False
600,-38.86094284057617,6.014899253845215,1,8.220000267028809,60.0,4,0,-39.441444396972656,31.73211669921875,1,23.0,57.33998107910156,4,0,28,False
660,-39.70520782470703,4.6168999671936035,1,8.220000267028809,60.0,4,0,-31.83332061767578,57.972198486328125,1,23.0,60.0,4,0,28,False
720,-4.395841121673584,15.362884521484375,1,13.220000267028809,60.0,4,0,-0.3801238536834717,3.1527836322784424,1,35.0,60.0,4,0,28,False
780,-66.39952087402344,0.008899999782443047,1,13.220000267028809,60.0,4,0,-18.965391159057617,0.008899999782443047,-1,35.0,60.0,4,0,28,False
840,-104.72066497802734,-39.431087493896484,1,13.220000267028809,60.0,4,0,-63.198909759521484,0.008899999782443047,-1,35.0,60.0,4,0,28,False
900,-105.0514907836914,-35.19809341430664,1,13.220000267028809,60.0,4,0,-102.2940673828125,-17.79110336303711,-1,35.0,60.0,4,0,28,False
960,-92.92859649658203,-56.191410064697266,-1,17.770000457763672,60.0,4,0,-79.45286560058594,-14.304012298583984,1,35.0,60.0,4,0,28,False
1020,-119.6534194946289,-30.684202194213867,-1,17.770000457763672,60.0,4,0,-67.61105346679688,0.008899999782443047,1,35.0,60.0,4,0,28,False
1080,-139.4009246826172,-7.04986047744751,1,17.770000457763672,60.0,4,0,-81.59864044189453,23.822900772094727,-1,35.0,60.0,4,0,28,False
1140,-142.57925415039062,9.277755737304688,1,21.920000076293945,60.0,4,0,-96.42350769042969,33.79490280151367,1,35.0,60.0,4,0,28,False
1200,-152.69436645507812,-15.554112434387207,1,21.920000076293945,60.0,4,0,-48.54625701904297,0.008899999782443047,1,35.0,60.0,4,0,28,False
1260,-123.09912872314453,-12.655097961425781,1,21.920000076293945,60.0,4,0,-107.30757904052734,-16.361101150512695,-1,35.0,60.0,4,0,28,False
1320,-75.39527893066406,-27.24345588684082,1,21.920000076293945,60.0,4,0,-79.19129943847656,-14.391200065612793,1,35.0,60.0,4,0,28,False
1380,-13.913517951965332,-118.4433822631836,1,21.920000076293945,60.0,4,0,-51.48251724243164,1.824432611465454,1,35.0,60.0,4,0,28,False
1440,-10.302268028259277,-123.24337768554688,1,21.920000076293945,60.0,3,0,-1.0303126573562622,0.008899999782443047,1,35.0,60.0,4,0,28,False
1500,0.0,87.74744415283203,-1,0.0,60.0,3,0,-28.732770919799805,41.087398529052734,1,35.0,60.0,4,0,28,False
1560,-43.0894775390625,35.961544036865234,-1,0.0,60.0,3,0,-49.174278259277344,28.14219856262207,1,35.0,60.0,4,0,28,False
1620,-25.301616668701172,24.00753402709961,-1,0.0,60.0,3,0,-28.024272918701172,0.008899999782443047,1,35.0,57.849578857421875,4,0,28,False
1680,7.791751861572266,15.816899299621582,1,0.0,60.0,3,0,-21.828887939453125,0.008899999782443047,1,35.0,58.19957733154297,4,0,28,False
1740,14.347257614135742,0.008899999782443047,-1,12.0,60.0,3,0,8.522579193115234,8.890082359313965,1,47.0,60.0,4,0,28,False
1800,-9.89199447631836,0.008899999782443047,-1,12.0,60.0,3,0,-9.501683235168457,15.728782653808594,-1,59.0,60.0,4,0,28,False
1860,7.110632419586182,12.146897315979004,-1,12.0,60.0,3,0,17.135297775268555,26.34930419921875,-1,68.0,60.0,4,0,28,False
1920,75.06977844238281,1.4548869132995605,-1,12.0,60.0,3,0,67.27790832519531,12.30260181427002,-1,79.16000366210938,60.0,4,0,28,False
1980,-2.7262754440307617,0.008899999782443047,1,15.949999809265137,60.0,3,0,45.12290573120117,0.008899999782443047,-1,79.16000366210938,60.0,4,0,28,False
2040,-15.795892715454102,0.008899999782443047,-1,15.949999809265137,60.0,3,0,-32.662109375,0.008899999782443047,-1,79.16000366210938,60.0,4,0,28,False
2100,-14.1686429977417,26.301029205322266,1,31.950000762939453,60.0,3,0,-13.262107849121094,10.628898620605469,1,79.16000366210938,60.0,4,0,28,False
2160,-26.779823303222656,41.91302490234375,1,31.950000762939453,60.0,3,0,-36.23480987548828,14.059114456176758,1,86.16000366210938,60.0,4,0,28,False
2220,-1.5270745754241943,8.38489818572998,1,34.86000061035156,60.0,3,0,-46.683441162109375,0.008899999782443047,1,86.16000366210938,55.10002136230469,4,0,28,False
2280,-16.00827407836914,9.344887733459473,1,34.86000061035156,60.0,3,0,-106.5663833618164,1.4855949878692627,1,96.60000610351562,59.30000305175781,4,0,28,False
2340,-77.25170135498047,23.474897384643555,-1,34.86000061035156,60.0,3,0,-53.21271896362305,29.86121368408203,1,96.60000610351562,60.0,4,0,28,False
2400,-46.10400390625,37.34288787841797,-1,34.86000061035156,60.0,3,0,-38.720008850097656,0.008899999782443047,1,96.60000610351562,60.0,4,0,28,False
2460,-12.679605484008789,21.398193359375,-1,34.86000061035156,60.0,3,0,-53.04248809814453,0.008899999782443047,1,96.60000610351562,60.0,4,0,28,False
2520,21.529394149780273,24.09418296813965,-1,34.86000061035156,60.0,3,0,-47.16179275512695,0.008899999782443047,1,96.60000610351562,60.0,4,0,28,False
2580,17.245670318603516,8.654169082641602,-1,34.86000061035156,60.0,3,0,0.9129722118377686,10.548895835876465,1,96.60000610351562,60.0,4,0,28,False
2640,43.13438034057617,0.008899999782443047,-1,43.40999984741211,60.0,3,0,64.37174987792969,0.008899999782443047,1,96.60000610351562,60.0,4,0,28,False
2700,36.40782165527344,0.008899999782443047,-1,52.40999984741211,60.0,3,0,9.080698013305664,8.962152481079102,1,113.60000610351562,60.0,4,0,28,False
2760,-11.909699440002441,23.374895095825195,-1,52.40999984741211,60.0,3,0,-222.2589569091797,75.1144027709961,1,113.60000610351562,60.0,4,0,28,False
2820,-18.69370460510254,6.49489688873291,-1,52.40999984741211,60.0,3,0,-257.23468017578125,69.6900863647461,1,114.60000610351562,60.0,3,0,28,False
2880,38.45054244995117,0.008899999782443047,-1,52.40999984741211,60.0,3,0,0.0,107.14019775390625,-1,0.0,60.0,3,0,28,False
2940,82.54027557373047,8.38489818572998,-1,52.40999984741211,60.0,3,0,39.4157600402832,0.008899999782443047,1,0.0,60.0,3,0,28,False
