frame,p1_post_positionX,p1_post_positionY,p1_post_facingDirection,p1_post_percent,p1_post_shieldSize,p1_post_stocksRemaining,p1_post_lCancelStatus,p2_post_positionX,p2_post_positionY,p2_post_facingDirection,p2_post_percent,p2_post_shieldSize,p2_post_stocksRemaining,p2_post_lCancelStatus,stageId,winner
60,-31.09545135498047,26.63610076904297,1,3.0,58.600006103515625,4,0,27.048250198364258,31.700098037719727,1,0.0,60.0,4,0,31,False
120,4.848376274108887,14.566089630126953,1,3.0,60.0,4,0,41.33391189575195,9.999999747378752e-05,1,0.0,60.0,4,0,31,False
180,-50.11177444458008,6.424053192138672,1,12.549999237060547,60.0,4,0,-22.479106903076172,24.472103118896484,-1,0.0,60.0,4,0,31,False
240,-95.47146606445312,-1.8392876386642456,1,12.549999237060547,60.0,4,0,-24.08460807800293,9.999999747378752e-05,-1,0.0,60.0,4,0,31,False
300,-55.925201416015625,9.621994972229004,-1,15.339999198913574,60.0,4,0,-2.7252702713012695,9.999999747378752e-05,1,0.0,60.0,4,0,31,False
360,-19.40877342224121,9.999999747378752e-05,-1,17.889999389648438,60.0,4,0,35.72567367553711,9.999999747378752e-05,1,0.0,60.0,4,0,31,False
420,19.397708892822266,9.999999747378752e-05,-1,22.239999771118164,60.0,4,0,-35.73078918457031,29.39410400390625,-1,0.0,60.0,4,0,31,False
480,55.84783935546875,3.1361000537872314,-1,24.670000076293945,60.0,4,0,6.215438365936279,9.999999747378752e-05,-1,0.0,60.0,4,0,31,False
540,19.258872985839844,9.999999747378752e-05,-1,29.020000457763672,60.0,4,0,-26.045612335205078,9.870100021362305,1,0.0,60.0,4,0,31,False
600,6.863905906677246,22.62809181213379,1,31.0,60.0,4,0,-44.13231658935547,9.999999747378752e-05,-1,0.0,60.0,4,0,31,False
660,35.69430923461914,9.999999747378752e-05,-1,35.599998474121094,60.0,4,0,-2.6544899940490723,31.28009796142578,-1,0.0,60.0,4,0,31,False
720,61.2695198059082,0.00010000169277191162,-1,38.599998474121094,60.0,4,0,52.98951721191406,9.999999747378752e-05,1,0.0,60.0,4,0,31,False
780,25.307279586791992,63.80044174194336,1,47.41999816894531,60.0,4,0,27.518268585205078,52.02610397338867,-1,0.0,60.0,4,0,31,False
840,-7.759233474731445,181.8752899169922,1,59.25,60.0,4,0,1.7361289262771606,54.40010070800781,-1,0.0,60.0,4,0,31,False
900,-74.787841796875,124.73284149169922,1,60.25,60.0,4,0,-19.05367088317871,1.1149274110794067,1,0.0,60.0,4,0,31,False
960,-99.50299835205078,62.74091339111328,1,60.25,60.0,4,0,-48.61015701293945,9.999999747378752e-05,1,0.0,60.0,4,0,31,False
1020,-55.99751663208008,53.71894454956055,1,60.25,60.0,4,0,5.154306411743164,9.999999747378752e-05,1,0.0,60.0,4,0,31,False
1080,-13.126324653625488,28.796960830688477,1,62.83000183105469,60.0,4,0,46.11137390136719,30.710098266601562,-1,0.0,60.0,4,0,31,False
1140,2.8632514476776123,26.374094009399414,1,62.83000183105469,60.0,4,0,-13.684883117675781,24.48008918762207,-1,0.0,60.0,4,0,31,False
1200,103.32402801513672,56.230953216552734,-1,77.83000183105469,60.0,4,0,9.228859901428223,13.340100288391113,1,0.0,60.0,4,0,31,False
1260,73.93011474609375,-8.486319541931152,-1,80.41000366210938,60.0,4,0,41.355873107910156,27.20009994506836,-1,0.0,60.0,4,0,31,False
1320,62.121795654296875,20.1199951171875,-1,80.41000366210938,60.0,4,0,-3.223245620727539,9.999999747378752e-05,-1,0.0,60.0,4,0,31,False
1380,42.147823333740234,17.92009925842285,1,82.84000396728516,60.0,4,0,-10.704137802124023,10.360099792480469,1,0.0,60.0,4,0,31,False
1440,31.48807144165039,9.999999747378752e-05,1,82.84000396728516,60.0,4,0,8.393364906311035,9.999999747378752e-05,1,0.0,60.0,4,0,31,False
1500,50.61085510253906,9.999999747378752e-05,1,82.84000396728516,60.0,4,0,8.789800643920898,9.999999747378752e-05,1,12.0,59.874000549316406,4,0,31,False
1560,7.521475315093994,9.999999747378752e-05,-1,82.84000396728516,60.0,4,0,-11.305826187133789,9.999999747378752e-05,1,12.0,60.0,4,0,31,False
1620,7.124075412750244,23.086097717285156,-1,82.84000396728516,60.0,4,0,10.978485107421875,22.438024520874023,1,23.0,60.0,4,0,31,False
1680,7.124075412750244,9.999999747378752e-05,-1,82.84000396728516,60.0,4,0,226.0487823486328,77.22847747802734,-1,51.0,60.0,3,0,31,False
1740,7.124075412750244,9.999999747378752e-05,-1,82.84000396728516,60.0,4,0,-12.0,129.46664428710938,1,0.0,60.0,3,0,31,False
1800,7.124075412750244,9.999999747378752e-05,-1,82.84000396728516,60.0,4,0,-11.273750305175781,59.36997985839844,1,0.0,60.0,3,0,31,False
1860,27.996707916259766,95.38219451904297,-1,100.84000396728516,60.0,4,0,2.9962990283966064,9.999999747378752e-05,1,0.0,60.0,3,0,31,False
1920,51.99131393432617,167.9484100341797,-1,100.84000396728516,60.0,4,0,2.9962990283966064,9.999999747378752e-05,1,0.0,60.0,3,0,31,False
1980,51.99131393432617,112.23948669433594,-1,100.84000396728516,60.0,4,0,-31.145523071289062,9.999999747378752e-05,-1,0.0,60.0,3,0,31,False
2040,51.99131393432617,81.59957885742188,-1,100.84000396728516,60.0,3,0,18.86704444885254,9.999999747378752e-05,1,0.0,60.0,3,0,31,False
2100,-40.0,96.7999496459961,1,0.0,60.0,3,0,-30.599950790405273,9.999999747378752e-05,1,0.0,60.0,3,0,31,False
2160,-24.19613265991211,41.536033630371094,1,0.0,60.0,3,0,-39.666419982910156,9.999999747378752e-05,1,0.0,60.0,3,0,31,False
2220,7.606281280517578,1.0500999689102173,1,0.0,60.0,3,0,50.17069625854492,20.930099487304688,1,0.0,60.0,3,0,31,False
2280,4.322653293609619,9.999999747378752e-05,-1,15.0,60.0,3,0,-3.296949863433838,7.250091075897217,-1,0.0,60.0,3,0,31,False
2340,46.366729736328125,26.568096160888672,-1,15.0,60.0,3,0,-30.431533813476562,9.999999747378752e-05,-1,0.0,60.0,3,0,31,False
2400,14.984177589416504,29.5740966796875,1,23.219999313354492,60.0,3,0,-12.803464889526367,29.900096893310547,1,0.0,60.0,3,0,31,False
2460,11.373400688171387,9.999999747378752e-05,1,25.5,60.0,3,0,-22.405969619750977,40.29610061645508,1,0.0,49.220008850097656,3,0,31,False
2520,38.52981185913086,20.652097702026367,1,25.5,60.0,3,0,27.43267059326172,16.77009391784668,1,0.0,53.41999053955078,3,0,31,False
2580,23.624937057495117,9.999999747378752e-05,-1,25.5,60.0,3,0,42.30687713623047,31.583641052246094,-1,7.0,57.619972229003906,3,0,31,False
2640,-3.903959274291992,19.456098556518555,-1,25.5,60.0,3,0,45.844459533691406,-4.449898719787598,-1,7.0,54.11998748779297,3,0,31,False
2700,35.29546356201172,15.548434257507324,1,25.5,60.0,3,0,-8.585306167602539,9.999999747378752e-05,-1,7.0,58.319969177246094,3,0,31,False
2760,17.140342712402344,3.1361000537872314,1,25.5,60.0,3,0,-64.76160430908203,-4.199902534484863,1,7.0,60.0,3,0,31,False
2820,42.47004318237305,27.20009994506836,1,27.600000381469727,60.0,3,0,-32.95260238647461,57.980106353759766,1,7.0,60.0,3,0,31,False
2880,40.871246337890625,27.20009994506836,-1,27.600000381469727,55.310020446777344,3,0,-21.680782318115234,48.280094146728516,1,7.0,60.0,3,0,31,False
2940,44.43902587890625,27.20009994506836,-1,27.600000381469727,57.83000946044922,3,0,-53.636722564697266,10.020099639892578,1,7.0,60.0,3,0,31,False
3000,20.773656845092773,14.11609935760498,-1,27.600000381469727,59.37000274658203,3,0,-38.30860900878906,9.999999747378752e-05,1,7.0,60.0,3,0,31,False
3060,-1.925119161605835,9.999999747378752e-05,-1,27.600000381469727,60.0,3,0,-18.83119010925293,9.999999747378752e-05,1,7.0,47.40001678466797,3,0,31,False
3120,16.204458236694336,32.12809371948242,-1,42.0,60.0,3,0,13.517806053161621,24.840099334716797,-1,7.0,49.99000549316406,3,0,31,False
3180,38.555999755859375,51.877593994140625,-1,42.0,60.0,3,0,15.061182975769043,9.999999747378752e-05,1,7.0,54.18998718261719,3,0,31,False
3240,28.7027530670166,23.204097747802734,-1,42.0,60.0,3,0,35.058937072753906,30.88010025024414,1,7.0,58.38996887207031,3,0,31,False
3300,22.883628845214844,9.999999747378752e-05,-1,42.0,60.0,3,0,33.148380279541016,40.540103912353516,-1,7.0,60.0,3,0,31,False
3360,19.682310104370117,29.73409652709961,1,42.0,60.0,3,0,26.309053421020508,23.000099182128906,1,7.0,60.0,3,0,31,False
3420,-14.14049243927002,34.61809158325195,1,42.0,60.0,3,0,7.614006042480469,58.250099182128906,-1,7.0,60.0,3,0,31,False
3480,-89.56938934326172,3.3272106647491455,1,54.0,60.0,3,0,-37.622257232666016,9.999999747378752e-05,1,7.0,60.0,3,0,31,False
3540,-77.08954620361328,-6.932000637054443,1,54.0,60.0,3,0,-47.98194122314453,30.284103393554688,1,7.0,58.81000518798828,3,0,31,False
3600,-52.18084716796875,25.611989974975586,1,54.0,60.0,3,0,19.215198516845703,9.999999747378752e-05,1,7.0,60.0,3,0,31,False
3660,-40.78173828125,19.456096649169922,1,54.0,60.0,3,0,46.712608337402344,20.930099487304688,-1,7.0,60.0,3,0,31,False
3720,-11.599337577819824,36.800106048583984,1,54.0,60.0,3,0,-6.332404613494873,54.40010070800781,-1,7.0,60.0,3,0,31,False
3780,33.34528350830078,20.752099990844727,-1,62.189998626708984,60.0,3,0,18.80000114440918,22.750106811523438,1,7.0,60.0,3,0,31,False
3840,61.00987243652344,53.16057205200195,-1,62.189998626708984,60.0,3,0,-23.534326553344727,9.999999747378752e-05,-1,7.0,60.0,3,0,31,False
3900,40.8599967956543,27.20009994506836,-1,62.189998626708984,57.20001220703125,3,0,-29.775753021240234,-1.6999025344848633,1,7.0,60.0,3,0,31,False
3960,29.345291137695312,27.20009994506836,1,62.189998626708984,60.0,3,0,-31.79325294494629,9.999999747378752e-05,-1,7.0,60.0,3,0,31,False
4020,-1.9269667863845825,26.848093032836914,-1,62.189998626708984,60.0,3,0,4.267734050750732,9.999999747378752e-05,1,7.0,60.0,3,0,31,False
4080,13.733785629272461,9.999999747378752e-05,1,62.189998626708984,60.0,3,0,8.108427047729492,11.761034965515137,1,28.0,60.0,3,0,31,False
4140,33.24275588989258,9.999999747378752e-05,1,62.189998626708984,60.0,3,0,49.40818405151367,9.999999747378752e-05,1,28.0,59.86000061035156,3,0,31,False
4200,1.9850448369979858,14.264891624450684,1,71.19000244140625,60.0,3,0,45.24818420410156,9.999999747378752e-05,-1,28.0,60.0,3,0,31,False
4260,-5.411609649658203,6.4605488777160645,1,71.19000244140625,60.0,3,0,22.102954864501953,9.999999747378752e-05,1,28.0,60.0,3,0,31,False
4320,18.619169235229492,17.836477279663086,-1,76.19000244140625,60.0,3,0,7.130452632904053,9.999999747378752e-05,1,28.0,60.0,3,0,31,False
4380,78.2074203491211,39.231666564941406,-1,79.83000183105469,60.0,3,0,59.27008819580078,51.750099182128906,1,28.0,60.0,3,0,31,False
4440,89.14441680908203,18.35109519958496,-1,79.83000183105469,60.0,3,0,54.42221450805664,24.15009880065918,1,28.0,56.920013427734375,3,0,31,False
4500,80.81970977783203,8.761994361877441,1,79.83000183105469,60.0,3,0,30.897071838378906,9.999999747378752e-05,-1,28.0,54.47002410888672,3,0,31,False
4560,53.04603958129883,1.0500999689102173,1,79.83000183105469,60.0,3,0,43.984188079833984,27.20009994506836,1,28.0,58.670005798339844,3,0,31,False
