frame,p1_post_positionX,p1_post_positionY,p1_post_facingDirection,p1_post_percent,p1_post_shieldSize,p1_post_stocksRemaining,p1_post_lCancelStatus,p2_post_positionX,p2_post_positionY,p2_post_facingDirection,p2_post_percent,p2_post_shieldSize,p2_post_stocksRemaining,p2_post_lCancelStatus,stageId,winner
60,-0.8874659538269043,9.999999747378752e-05,-1,0.0,60.0,4,0,43.77519607543945,9.999999747378752e-05,-1,0.0,60.0,4,0,31,True
120,25.234375,9.999999747378752e-05,-1,0.0,60.0,4,0,37.43258285522461,13.340100288391113,-1,0.0,60.0,4,0,31,True
180,25.403701782226562,9.999999747378752e-05,-1,0.0,57.62001037597656,4,0,-5.46743106842041,9.999999747378752e-05,-1,0.0,60.0,4,0,31,True
240,-11.197811126708984,9.108098030090332,-1,0.0,60.0,4,0,-23.214317321777344,9.999999747378752e-05,1,9.0,60.0,4,0,31,True
300,-10.734935760498047,5.936095714569092,-1,0.0,60.0,4,0,-31.497196197509766,9.999999747378752e-05,1,9.0,44.974605560302734,4,0,31,True
360,-4.5138726234436035,4.608099937438965,-1,0.0,60.0,4,0,-34.14664840698242,6.049079895019531,1,9.0,49.17458724975586,4,0,31,True
420,-25.647642135620117,9.998679161071777e-05,-1,0.0,60.0,4,0,-33.927642822265625,9.999999747378752e-05,1,9.0,42.174617767333984,4,0,31,True
480,-20.587644577026367,9.999999747378752e-05,-1,3.0,60.0,4,0,-39.68763732910156,9.999999747378752e-05,1,9.0,46.37459945678711,4,0,31,True
540,-19.734464645385742,11.876734733581543,-1,13.0,60.0,4,0,-41.521636962890625,9.999999747378752e-05,1,12.0,50.574581146240234,4,0,31,True
600,-25.506410598754883,29.49380111694336,-1,13.0,60.0,4,0,-51.95058059692383,9.999999747378752e-05,1,24.0,54.77456283569336,4,0,31,True
660,-15.105663299560547,9.999999747378752e-05,-1,13.0,59.44000244140625,4,0,-25.13437271118164,10.45009994506836,1,24.0,58.974544525146484,4,0,31,True
720,28.934118270874023,9.999999747378752e-05,-1,13.0,60.0,4,0,-44.066532135009766,9.999999747378752e-05,-1,24.0,60.0,4,0,31,True
780,28.493999481201172,9.999999747378752e-05,-1,13.0,60.0,4,0,0.6864283680915833,9.999999747378752e-05,1,24.0,60.0,4,0,31,True
840,-3.7686126232147217,0.00010001659393310547,1,13.0,60.0,4,1,5.998930931091309,9.999999747378752e-05,1,24.0,47.96002197265625,4,0,31,True
900,-0.4931126534938812,9.999999747378752e-05,1,13.0,60.0,4,0,-4.59262228012085,26.38861083984375,-1,37.76000213623047,48.2867317199707,4,0,31,True
960,-0.4931126534938812,28.650094985961914,1,13.0,60.0,4,0,-9.357995986938477,-0.6301127672195435,-1,37.76000213623047,52.48671340942383,4,0,31,True
1020,1.6068873405456543,9.999999747378752e-05,1,13.0,60.0,4,0,18.118473052978516,9.999999747378752e-05,-1,37.76000213623047,56.68669509887695,4,0,31,True
1080,1.6068873405456543,9.999999747378752e-05,1,25.600000381469727,60.0,4,0,18.154987335205078,9.999999747378752e-05,-1,37.76000213623047,60.0,4,0,31,True
1140,1.6068873405456543,9.999999747378752e-05,1,31.1200008392334,60.0,4,0,17.98748779296875,9.999999747378752e-05,-1,37.76000213623047,60.0,4,0,31,True
