frame,p1_post_positionX,p1_post_positionY,p1_post_facingDirection,p1_post_percent,p1_post_shieldSize,p1_post_stocksRemaining,p1_post_lCancelStatus,p2_post_positionX,p2_post_positionY,p2_post_facingDirection,p2_post_percent,p2_post_shieldSize,p2_post_stocksRemaining,p2_post_lCancelStatus,stageId,winner
60,17.70578384399414,20.76609992980957,1,0.0,60.0,4,0,-25.355867385864258,27.20009994506836,-1,0.0,60.0,4,0,31,True
120,23.81877899169922,9.999999747378752e-05,1,0.0,60.0,4,0,-9.42374324798584,28.35010528564453,1,0.0,60.0,4,0,31,True
180,-9.069120407104492,14.400096893310547,-1,0.0,60.0,4,0,-1.4385755062103271,9.999999747378752e-05,1,12.0,60.0,4,0,31,True
240,-23.68980598449707,15.808098793029785,1,0.0,60.0,4,0,-11.870954513549805,31.28009796142578,1,12.0,60.0,4,0,31,True
300,-23.694358825683594,9.999999747378752e-05,1,0.0,59.65385818481445,4,0,7.570581436157227,3.5066864490509033,-1,20.189998626708984,60.0,4,0,31,True
360,-21.617828369140625,9.999999747378752e-05,1,0.0,60.0,4,0,23.580562591552734,33.622100830078125,-1,20.189998626708984,60.0,4,0,31,True
420,-8.587149620056152,27.796096801757812,-1,0.0,60.0,4,0,-16.922565460205078,9.999999747378752e-05,-1,20.189998626708984,56.920013427734375,4,0,31,True
480,-42.540496826171875,9.999999747378752e-05,1,0.0,60.0,4,0,2.268477201461792,9.999999747378752e-05,1,30.189998626708984,60.0,4,0,31,True
540,-29.62316131591797,31.867835998535156,1,15.0,60.0,4,0,-10.169525146484375,9.999999747378752e-05,1,30.189998626708984,60.0,4,0,31,True
600,-35.862762451171875,9.999999747378752e-05,-1,15.0,60.0,4,0,1.8767271041870117,9.999999747378752e-05,-1,30.189998626708984,60.0,4,0,31,True
660,-12.215052604675293,28.74369239807129,1,24.0,60.0,4,0,-42.368263244628906,9.999999747378752e-05,-1,30.189998626708984,60.0,4,0,31,True
720,18.057762145996094,17.34906578063965,-1,32.189998626708984,60.0,4,0,12.701732635498047,9.999999747378752e-05,1,30.189998626708984,60.0,4,0,31,True
780,19.463777542114258,9.999999747378752e-05,1,32.189998626708984,60.0,4,0,47.63796615600586,9.999999747378752e-05,-1,42.189998626708984,60.0,4,0,31,True
840,29.62502670288086,8.64009952545166,1,32.189998626708984,60.0,4,0,25.525516510009766,40.35660171508789,-1,53.189998626708984,59.93000030517578,4,0,31,True
900,29.62502670288086,27.20009994506836,1,32.189998626708984,60.0,4,0,-143.87387084960938,195.50267028808594,1,81.19000244140625,60.0,4,0,31,True
960,29.62502670288086,27.20009994506836,1,32.189998626708984,60.0,4,0,-153.59703063964844,148.9348602294922,1,81.19000244140625,60.0,4,0,31,True
1020,29.62502670288086,27.20009994506836,1,32.189998626708984,60.0,4,0,-153.59703063964844,92.82281494140625,1,81.19000244140625,60.0,4,0,31,True
1080,29.62502670288086,27.20009994506836,1,32.189998626708984,60.0,4,0,12.800000190734863,133.19998168945312,-1,0.0,60.0,3,0,31,True
1140,43.605064392089844,27.20009994506836,1,32.189998626708984,60.0,4,0,12.800000190734863,72.96998596191406,-1,0.0,60.0,3,0,31,True
1200,4.901108741760254,59.7560920715332,1,32.189998626708984,60.0,4,0,-9.801248550415039,9.999999747378752e-05,-1,0.0,60.0,3,0,31,True
1260,-20.803773880004883,43.20012664794922,1,32.189998626708984,60.0,4,0,4.626503944396973,54.40010070800781,-1,0.0,60.0,3,0,31,True
1320,18.221845626831055,9.999999747378752e-05,-1,32.189998626708984,56.58758544921875,4,0,18.306636810302734,10.650099754333496,-1,0.0,60.0,3,0,31,True
1380,2.8576364517211914,26.864870071411133,-1,41.189998626708984,60.0,4,0,-13.783060073852539,9.999999747378752e-05,-1,0.0,60.0,3,0,31,True
1440,14.34224796295166,126.46650695800781,-1,59.189998626708984,60.0,4,0,-15.99419116973877,9.999999747378752e-05,1,0.0,60.0,3,0,31,True
1500,-8.451214790344238,137.1601104736328,-1,59.189998626708984,60.0,4,0,34.48655700683594,27.20009994506836,1,0.0,60.0,3,0,31,True
1560,-49.795230865478516,41.16016387939453,-1,60.189998626708984,60.0,4,0,12.562105178833008,9.999999747378752e-05,-1,0.0,60.0,3,0,31,True
1620,-54.89646530151367,2.5161590576171875,-1,60.189998626708984,60.0,4,0,-31.458528518676758,9.999999747378752e-05,-1,0.0,60.0,3,0,31,True
1680,-26.821590423583984,19.008098602294922,1,60.189998626708984,60.0,4,0,-1.3207226991653442,9.999999747378752e-05,-1,0.0,60.0,3,0,31,True
1740,-11.815266609191895,0.5180991888046265,1,60.189998626708984,60.0,4,0,-28.72752571105957,0.23865264654159546,1,11.15999984741211,60.0,3,0,31,True
1800,-4.705663681030273,20.416099548339844,1,60.189998626708984,60.0,4,0,2.467588424682617,9.999999747378752e-05,-1,11.15999984741211,60.0,3,0,31,True
1860,-34.21196746826172,8.3760986328125,1,60.189998626708984,60.0,4,0,-9.219863891601562,27.830097198486328,-1,11.15999984741211,60.0,3,0,31,True
1920,-50.627254486083984,9.1417875289917,1,68.47000122070312,60.0,4,0,-22.194454193115234,9.999999747378752e-05,-1,24.15999984741211,60.0,3,0,31,True
1980,-30.429418563842773,9.999999747378752e-05,1,68.47000122070312,60.0,4,0,-22.194454193115234,9.999999747378752e-05,-1,24.15999984741211,60.0,3,0,31,True
2040,-28.169645309448242,32.906097412109375,-1,68.47000122070312,60.0,4,0,15.119924545288086,9.999999747378752e-05,1,24.15999984741211,60.0,3,0,31,True
2100,-61.86914825439453,72.30327606201172,1,78.55000305175781,60.0,4,0,-34.93583679199219,9.999999747378752e-05,-1,24.15999984741211,60.0,3,0,31,True
2160,-76.36125183105469,59.13041305541992,1,93.55000305175781,60.0,4,0,-57.0181770324707,58.006103515625,1,24.15999984741211,60.0,3,0,31,True
