frame,p1_post_positionX,p1_post_positionY,p1_post_facingDirection,p1_post_percent,p1_post_shieldSize,p1_post_stocksRemaining,p1_post_lCancelStatus,p2_post_positionX,p2_post_positionY,p2_post_facingDirection,p2_post_percent,p2_post_shieldSize,p2_post_stocksRemaining,p2_post_lCancelStatus,stageId,winner
60,55.044456481933594,9.041707038879395,-1,14.0,60.0,4,0,15.887592315673828,0.00010001659393310547,1,0.0,60,4,0,8,True
120,93.59732055664062,7.751871585845947,-1,14.0,60.0,4,0,2.4691481590270996,9.999999747378752e-05,1,0.0,60,4,0,8,True
180,68.06082916259766,22.232637405395508,-1,14.0,60.0,4,0,-15.634635925292969,9.999999747378752e-05,1,0.0,60,4,0,8,True
240,41.49026870727539,26.586097717285156,1,14.0,60.0,4,0,4.542063236236572,9.999999747378752e-05,-1,0.0,60,4,0,8,True
300,-1.4239838123321533,74.4673080444336,1,30.829999923706055,60.0,4,0,36.79338455200195,23.450098037719727,1,0.0,60,4,0,8,True
360,-66.8167495727539,43.98835754394531,1,30.829999923706055,60.0,4,0,15.437058448791504,9.999999747378752e-05,-1,0.0,60,4,0,8,True
420,-44.041015625,23.450098037719727,1,30.829999923706055,60.0,4,0,-11.758262634277344,9.999999747378752e-05,-1,0.0,60,4,0,8,True
480,-42.65876007080078,23.450098037719727,1,30.829999923706055,47.960018157958984,4,0,-46.758270263671875,52.31922912597656,-1,11.0,60,4,0,8,True
540,-42.65876007080078,50.918094635009766,1,30.829999923706055,52.15999984741211,4,0,-72.69989776611328,85.3284912109375,1,39.0,60,4,0,8,True
600,-42.65876007080078,23.450098037719727,1,30.829999923706055,56.359981536865234,4,0,-177.18785095214844,147.56089782714844,1,39.0,60,3,0,8,True
660,-42.65876007080078,23.450098037719727,1,30.829999923706055,60.0,4,0,0.0,106.2366943359375,-1,0.0,60,3,0,8,True
720,-42.65876007080078,23.450098037719727,1,30.829999923706055,60.0,4,0,-5.1267499923706055,42.000099182128906,-1,0.0,60,3,0,8,True
780,-42.65876007080078,23.450098037719727,1,30.829999923706055,60.0,4,0,-36.75541687011719,9.999999747378752e-05,-1,0.0,60,3,0,8,True
840,-59.121646881103516,13.248096466064453,-1,30.829999923706055,53.90845489501953,4,0,-36.801918029785156,23.450098037719727,-1,0.0,60,3,0,8,True
900,-40.20686721801758,42.45809555053711,-1,30.829999923706055,58.108436584472656,4,0,-28.39230728149414,23.450098037719727,-1,12.0,60,3,0,8,True
960,-7.731350898742676,136.56324768066406,1,50.37181854248047,60.0,4,0,-19.816551208496094,15.170099258422852,1,12.0,60,3,0,8,True
1020,-18.683589935302734,107.51759338378906,1,51.37181854248047,60.0,4,0,15.651350021362305,6.378201961517334,1,12.0,60,3,0,8,True
1080,-57.33322525024414,28.917510986328125,1,51.37181854248047,60.0,4,0,-19.783254623413086,69.36810302734375,-1,12.0,60,3,0,8,True
1140,-42.96115493774414,18.891822814941406,-1,51.37181854248047,60.0,4,0,-18.318889617919922,9.999999747378752e-05,1,12.0,60,3,0,8,True
1200,-25.500370025634766,38.11650466918945,1,58.37181854248047,60.0,4,0,-39.3775749206543,28.560293197631836,-1,12.0,60,3,0,8,True
1260,31.598011016845703,9.999999747378752e-05,1,58.37181854248047,60.0,4,0,-11.11219596862793,9.999999747378752e-05,1,12.0,60,3,0,8,True
1320,49.30974578857422,6.391157150268555,1,58.37181854248047,60.0,4,0,-14.031647682189941,3.220099449157715,1,12.0,60,3,0,8,True
1380,10.149140357971191,2.7751545906066895,-1,61.37181854248047,60.0,4,0,31.42830467224121,0.00010013580322265625,1,25.0,60,3,0,8,True
1440,35.01829528808594,9.999999747378752e-05,1,61.37181854248047,60.0,4,0,72.8294677734375,-11.247400283813477,-1,42.0,60,3,0,8,True
1500,56.0,-3.5,1,61.37181854248047,60.0,4,0,86.60111999511719,-2.871286153793335,-1,53.83000183105469,60,3,0,8,True
