frame,p1_post_positionX,p1_post_positionY,p1_post_facingDirection,p1_post_percent,p1_post_shieldSize,p1_post_stocksRemaining,p1_post_lCancelStatus,p2_post_positionX,p2_post_positionY,p2_post_facingDirection,p2_post_percent,p2_post_shieldSize,p2_post_stocksRemaining,p2_post_lCancelStatus,stageId,winner
15,-1.1520270109176636,29.256088256835938,1,0.0,60.0,4,0,6.8720383644104,54.40010070800781,-1,0.0,60.0,4,0,31,False
30,-16.3057804107666,5.2560834884643555,1,0.0,60.0,4,0,-10.954211235046387,54.40010070800781,-1,0.0,60.0,4,0,31,False
45,-24.864782333374023,3.1361000537872314,1,0.0,60.0,4,0,-10.954211235046387,54.40010070800781,-1,0.0,60.0,4,0,31,False
60,-40.600196838378906,9.999999747378752e-05,-1,0.0,60.0,4,0,8.409537315368652,54.40010070800781,1,0.0,60.0,4,0,31,False
75,-43.265071868896484,6.608099460601807,-1,0.0,60.0,4,0,26.90829086303711,31.700098037719727,1,0.0,60.0,4,0,31,False
90,-31.223670959472656,20.846097946166992,1,0.0,60.0,4,0,42.11966323852539,27.20009994506836,-1,0.0,60.0,4,0,31,False
105,-21.336708068847656,27.20009994506836,1,0.0,60.0,4,0,17.804035186767578,37.82010269165039,-1,0.0,60.0,4,0,31,False
120,-11.191251754760742,22.01609992980957,1,0.0,60.0,4,0,10.939034461975098,54.40010070800781,-1,0.0,60.0,4,0,31,False
135,7.596373558044434,9.999999747378752e-05,1,0.0,60.0,4,0,24.238037109375,45.30010223388672,1,0.0,60.0,4,0,31,False
150,14.541143417358398,9.999999747378752e-05,1,0.0,60.0,4,0,33.232418060302734,0.00010013580322265625,1,0.0,60.0,4,0,31,False
165,24.87864112854004,17.280099868774414,1,0.0,60.0,4,0,14.563164710998535,9.999999747378752e-05,-1,0.0,60.0,4,0,31,False
180,37.85226821899414,14.400096893310547,1,0.0,60.0,4,0,-1.2243322134017944,9.999999747378752e-05,-1,0.0,60.0,4,0,31,False
195,48.99076843261719,9.999999747378752e-05,1,0.0,60.0,4,0,-2.499330997467041,9.999999747378752e-05,-1,0.0,60.0,4,0,31,False
210,52.81139373779297,4.608099937438965,1,0.0,60.0,4,0,-2.499330997467041,9.999999747378752e-05,-1,0.0,60.0,4,0,31,False
225,37.26981735229492,22.986099243164062,1,0.0,60.0,4,0,-11.125417709350586,2.100099802017212,-1,0.0,60.0,4,0,31,False
