frame,p1_post_positionX,p1_post_positionY,p1_post_facingDirection,p1_post_percent,p1_post_shieldSize,p1_post_stocksRemaining,p1_post_lCancelStatus,p2_post_positionX,p2_post_positionY,p2_post_facingDirection,p2_post_percent,p2_post_shieldSize,p2_post_stocksRemaining,p2_post_lCancelStatus,stageId,winner
60,-41.559993743896484,25.000099182128906,-1,0.0,47.40000915527344,4,0,-31.983835220336914,20.930099487304688,1,0.0,59.27885818481445,4,0,3,True
120,-36.63486099243164,9.999999747378752e-05,-1,3.0,49.712711334228516,4,0,34.901912689208984,9.150099754333496,-1,0.0,60.0,4,0,3,True
180,-62.71754837036133,9.999999747378752e-05,-1,3.0,46.24585723876953,4,0,39.49671936035156,9.150099754333496,-1,2.0,60.0,4,0,3,True
240,-67.66241455078125,9.999999747378752e-05,-1,5.730000019073486,45.776893615722656,4,0,-12.903886795043945,9.150099754333496,-1,2.0,60.0,4,0,3,True
300,-47.60417556762695,20.800098419189453,-1,5.730000019073486,45.55988693237305,4,0,-18.260692596435547,9.999999747378752e-05,-1,2.0,60.0,4,0,3,True
360,-34.1810302734375,9.999999747378752e-05,-1,5.730000019073486,49.75986862182617,4,0,-78.98170471191406,9.999999747378752e-05,1,2.0,60.0,4,0,3,True
420,-8.41746711730957,9.999999747378752e-05,-1,17.729999542236328,50.45986557006836,4,0,-19.645761489868164,9.999999747378752e-05,1,2.0,60.0,4,0,3,True
480,50.742610931396484,9.999999747378752e-05,-1,22.729999542236328,54.30984878540039,4,0,45.92942428588867,9.999999747378752e-05,1,5.0,60.0,4,0,3,True
540,16.51668357849121,9.999999747378752e-05,1,34.78999710083008,58.509830474853516,4,0,39.97297668457031,9.999999747378752e-05,1,5.0,60.0,4,0,3,True
600,15.477561950683594,9.408100128173828,1,34.78999710083008,60.0,4,0,-3.5117595195770264,16.100099563598633,1,5.0,60.0,4,0,3,True
660,82.02754974365234,29.857383728027344,-1,58.249996185302734,60.0,4,0,64.708251953125,-3.149900436401367,1,5.0,60.0,4,0,3,True
720,112.1769790649414,53.02898406982422,-1,58.249996185302734,60.0,4,0,72.00325775146484,16.446094512939453,1,5.0,60.0,4,0,3,True
780,85.25132751464844,5.525786876678467,-1,58.249996185302734,60.0,4,0,20.499755859375,10.650099754333496,-1,5.0,60.0,4,0,3,True
840,51.60952377319336,43.955772399902344,1,58.249996185302734,60.0,4,0,-0.5863165855407715,24.840099334716797,-1,5.0,60.0,4,0,3,True
900,9.371593475341797,28.136098861694336,1,58.249996185302734,60.0,4,0,34.60837173461914,9.999999747378752e-05,1,5.0,60.0,4,0,3,True
960,40.34645462036133,55.99485397338867,-1,65.70999908447266,60.0,4,0,40.39433670043945,9.999999747378752e-05,1,5.0,60.0,4,0,3,True
1020,25.16805076599121,89.17555236816406,1,70.70999908447266,60.0,4,0,44.45908737182617,25.000099182128906,1,5.0,60.0,4,0,3,True
1080,98.43283081054688,109.61776733398438,1,70.70999908447266,60.0,4,0,80.23871612548828,51.812103271484375,1,5.0,60.0,4,0,3,True
1140,103.57911682128906,50.29582977294922,-1,70.70999908447266,60.0,4,0,73.21086120605469,29.56009864807129,-1,5.0,60.0,4,0,3,True
1200,105.87174987792969,37.4598503112793,-1,70.70999908447266,60.0,4,0,88.8844223022461,11.966005325317383,-1,5.0,60.0,4,0,3,True
