frame,p1_post_positionX,p1_post_positionY,p1_post_facingDirection,p1_post_percent,p1_post_shieldSize,p1_post_stocksRemaining,p1_post_lCancelStatus,p2_post_positionX,p2_post_positionY,p2_post_facingDirection,p2_post_percent,p2_post_shieldSize,p2_post_stocksRemaining,p2_post_lCancelStatus,stageId,winner
60,65.7411880493164,9.999999747378752e-05,-1,0.0,59.6834602355957,4,0,-19.10500144958496,9.999999747378752e-05,1,0.0,60.0,4,0,32,False
120,65.7411880493164,9.999999747378752e-05,-1,0.0,60.0,4,0,26.66375160217285,9.999999747378752e-05,1,0.0,60.0,4,0,32,False
180,57.8028678894043,36.80409240722656,-1,0.0,60.0,4,0,19.978586196899414,18.63010025024414,-1,0.0,60.0,4,0,32,False
240,54.0626220703125,9.999999747378752e-05,-1,0.0,60.0,4,0,6.114583969116211,9.999999747378752e-05,-1,0.0,60.0,4,0,32,False
300,79.84801483154297,9.999999747378752e-05,-1,3.0,60.0,4,0,10.476475715637207,7.050099849700928,1,0.0,60.0,4,0,32,False
360,73.66576385498047,19.840099334716797,-1,3.0,60.0,4,0,23.54454803466797,-0.8399004936218262,1,0.0,60.0,4,0,32,False
420,11.209522247314453,11.200096130371094,-1,5.730000019073486,60.0,4,0,-20.526351928710938,9.999999747378752e-05,-1,0.0,60.0,4,0,32,False
480,3.3102941513061523,33.820091247558594,1,8.220000267028809,60.0,4,0,-16.455869674682617,9.999999747378752e-05,1,0.0,60.0,4,0,32,False
540,29.3156681060791,25.04808807373047,1,8.220000267028809,60.0,4,0,0.005530714988708496,31.050098419189453,-1,0.0,59.86985778808594,4,0,32,False
600,4.450561046600342,9.999999747378752e-05,-1,8.220000267028809,60.0,4,0,-17.374141693115234,9.999999747378752e-05,1,12.0,60.0,4,0,32,False
660,64.14192962646484,9.999999747378752e-05,1,13.220000267028809,60.0,4,0,32.8446159362793,9.999999747378752e-05,1,12.0,60.0,4,0,32,False
720,53.72289276123047,28.08409309387207,1,13.220000267028809,60.0,4,0,39.4691276550293,9.999999747378752e-05,1,12.0,60.0,4,0,32,False
780,5.514649868011475,9.999999747378752e-05,1,13.220000267028809,60.0,4,0,47.390621185302734,0.00010013580322265625,1,12.0,54.998592376708984,4,0,32,False
840,17.901630401611328,31.3885555267334,1,22.220001220703125,60.0,4,0,26.814693450927734,10.35010051727295,1,12.0,59.19857406616211,4,0,32,False
900,-6.690115928649902,14.851912498474121,1,37.220001220703125,60.0,4,0,-28.491811752319336,9.999999747378752e-05,-1,12.0,60.0,4,0,32,False
960,1.3263577222824097,31.220094680786133,1,37.220001220703125,60.0,4,0,-22.645822525024414,24.840099334716797,1,12.0,60.0,4,0,32,False
1020,51.08274459838867,51.37183380126953,1,49.220001220703125,60.0,4,0,-17.67477798461914,31.28009796142578,1,22.920000076293945,60.0,4,0,32,False
1080,-17.238723754882812,11.237296104431152,-1,49.220001220703125,60.0,4,0,-13.622014045715332,10.29114818572998,1,35.91999816894531,60.0,4,0,32,False
1140,9.258562088012695,4.610099792480469,-1,49.220001220703125,60.0,4,0,41.761802673339844,9.999999747378752e-05,-1,35.91999816894531,60.0,4,0,32,False
1200,-28.310731887817383,63.10347366333008,1,56.68000030517578,60.0,4,0,-24.768198013305664,3.6800999641418457,-1,35.91999816894531,60.0,4,0,32,False
1260,-64.51095581054688,167.83914184570312,-1,73.51000213623047,60.0,4,0,-25.33069610595703,9.999999747378752e-05,-1,35.91999816894531,60.0,4,0,32,False
1320,-72.23724365234375,143.3087615966797,-1,73.51000213623047,60.0,4,0,26.288610458374023,9.999999747378752e-05,-1,35.91999816894531,60.0,4,0,32,False
1380,-72.23724365234375,87.82106018066406,-1,73.51000213623047,60.0,4,0,-15.103775024414062,9.999999747378752e-05,-1,35.91999816894531,60.0,4,0,32,False
1440,-72.23724365234375,68.40032196044922,-1,73.51000213623047,60.0,3,0,-40.84983825683594,9.999999747378752e-05,-1,35.91999816894531,60.0,4,0,32,False
1500,-15.0,51.89998245239258,1,0.0,60.0,3,0,14.739895820617676,9.999999747378752e-05,-1,35.91999816894531,60.0,4,0,32,False
1560,38.37825012207031,5.340099811553955,1,0.0,60.0,3,0,63.41314697265625,9.999999747378752e-05,-1,35.91999816894531,60.0,4,0,32,False
1620,23.278785705566406,29.250099182128906,1,0.0,60.0,3,0,-18.912330627441406,9.150099754333496,-1,35.91999816894531,60.0,4,0,32,False
1680,48.08979797363281,13.120099067687988,1,0.0,60.0,3,0,26.38667106628418,2.100099802017212,1,35.91999816894531,55.72244644165039,4,0,32,False
1740,9.99400520324707,24.76809310913086,-1,1.840000033378601,60.0,3,0,7.545669078826904,9.999999747378752e-05,1,35.91999816894531,59.922428131103516,4,0,32,False
1800,23.035263061523438,45.3965950012207,1,21.1299991607666,60.0,3,0,25.29529571533203,38.250099182128906,1,35.91999816894531,60.0,4,0,32,False
1860,-4.602028846740723,9.999999747378752e-05,1,21.1299991607666,60.0,3,0,2.798668146133423,9.999999747378752e-05,1,43.37999725341797,60.0,4,0,32,False
1920,-65.28575897216797,9.999999747378752e-05,1,26.029998779296875,60.0,3,0,-37.94608688354492,9.999999747378752e-05,-1,43.37999725341797,60.0,4,0,32,False
1980,-100.40607452392578,25.9023494720459,1,47.66999816894531,60.0,3,0,-80.16584777832031,24.840099334716797,-1,43.37999725341797,60.0,4,0,32,False
2040,-123.99551391601562,43.166229248046875,1,47.66999816894531,60.0,3,0,-77.70681762695312,1.9021029472351074,1,43.37999725341797,60.0,4,0,32,False
2100,-81.4651870727539,2.5223066806793213,1,47.66999816894531,60.0,3,0,-46.81656265258789,8.20009994506836,1,43.37999725341797,60.0,4,0,32,False
2160,-51.04708480834961,32.82009506225586,-1,47.66999816894531,60.0,3,0,-44.1983528137207,23.000099182128906,-1,43.37999725341797,60.0,4,0,32,False
2220,0.07254356145858765,8.45609188079834,-1,47.66999816894531,60.0,3,0,7.706688404083252,9.999999747378752e-05,-1,66.29999542236328,60.0,4,0,32,False
2280,59.83280944824219,13.376094818115234,-1,47.66999816894531,60.0,3,0,85.57089233398438,9.999999747378752e-05,-1,66.29999542236328,60.0,4,0,32,False
2340,38.46357727050781,9.999999747378752e-05,-1,47.66999816894531,60.0,3,0,69.2136459350586,9.999999747378752e-05,-1,66.29999542236328,53.84000015258789,4,0,32,False
2400,32.8326530456543,9.999999747378752e-05,-1,47.66999816894531,60.0,3,0,53.27386474609375,16.73836898803711,-1,76.25999450683594,55.46527862548828,4,0,32,False
2460,52.4200325012207,17.92009925842285,1,47.66999816894531,60.0,3,0,86.23853302001953,-1.4315185546875,-1,76.25999450683594,59.665260314941406,4,0,32,False
2520,56.993045806884766,22.368167877197266,1,58.349998474121094,60.0,3,0,61.24275588989258,3.650099754333496,-1,76.25999450683594,60.0,4,0,32,False
2580,-54.19477462768555,50.10234451293945,1,72.5999984741211,60.0,3,0,2.6160335540771484,9.999999747378752e-05,-1,76.25999450683594,60.0,4,0,32,False
2640,-74.50626373291016,45.95573043823242,1,75.5999984741211,60.0,3,0,-25.660167694091797,9.999999747378752e-05,-1,76.25999450683594,60.0,4,0,32,False
2700,-71.76642608642578,15.493733406066895,1,75.5999984741211,60.0,3,0,-48.57219696044922,9.999999747378752e-05,1,76.25999450683594,60.0,4,0,32,False
2760,-12.2868013381958,13.120099067687988,1,75.5999984741211,60.0,3,0,26.122583389282227,2.140380859375,-1,88.25999450683594,60.0,4,0,32,False
2820,36.3960075378418,9.999999747378752e-05,1,75.5999984741211,60.0,3,0,103.68319702148438,6.455087661743164,-1,99.17999267578125,60.0,4,0,32,False
2880,79.4229965209961,17.92009925842285,1,75.5999984741211,60.0,3,0,92.634765625,-10.012550354003906,-1,99.17999267578125,60.0,4,0,32,False
2940,30.466999053955078,18.4960994720459,-1,75.5999984741211,60.0,3,0,76.79850769042969,-3.785428524017334,-1,99.17999267578125,60.0,4,0,32,False
3000,18.964384078979492,6.908096790313721,-1,75.5999984741211,60.0,3,0,50.488765716552734,9.999999747378752e-05,-1,99.17999267578125,58.95000457763672,4,0,32,False
3060,-27.51485252380371,19.843698501586914,1,83.43000030517578,57.56086730957031,3,0,9.069245338439941,9.999999747378752e-05,-1,99.17999267578125,60.0,4,0,32,False
3120,-0.7043864727020264,31.087188720703125,1,83.43000030517578,60.0,3,0,-64.04056549072266,28.980098724365234,-1,99.17999267578125,60.0,4,0,32,False
