frame,p1_post_positionX,p1_post_positionY,p1_post_facingDirection,p1_post_percent,p1_post_shieldSize,p1_post_stocksRemaining,p1_post_lCancelStatus,p2_post_positionX,p2_post_positionY,p2_post_facingDirection,p2_post_percent,p2_post_shieldSize,p2_post_stocksRemaining,p2_post_lCancelStatus,stageId,winner
60,-48.03558349609375,5.7600998878479,1,0.0,53.420021057128906,4,0,-8.362907409667969,9.999999747378752e-05,-1,0.0,60.0,4,0,3,True
120,-25.801759719848633,36.06008529663086,1,0.0,57.62000274658203,4,0,36.05952453613281,18.63010025024414,1,0.0,60.0,4,0,3,True
180,-33.91278076171875,13.518096923828125,1,0.0,60.0,4,0,-8.668487548828125,15.48008918762207,-1,0.0,60.0,4,0,3,True
240,-22.18151092529297,9.999999747378752e-05,1,0.0,60.0,4,0,5.1513848304748535,9.999999747378752e-05,-1,9.0,60.0,4,0,3,True
300,-18.480224609375,10.108098030090332,1,0.0,60.0,4,0,20.571006774902344,9.999999747378752e-05,-1,9.0,60.0,4,0,3,True
360,-10.806705474853516,9.999999747378752e-05,1,0.0,60.0,4,0,12.600465774536133,9.999999747378752e-05,-1,22.0,60.0,4,0,3,True
420,3.913712501525879,2.036099910736084,1,0.0,60.0,4,0,31.960445404052734,32.227134704589844,-1,33.0,60.0,4,0,3,True
480,24.997833251953125,25.896089553833008,1,0.0,60.0,4,0,19.463441848754883,24.558757781982422,1,45.0,60.0,4,0,3,True
540,0.20845752954483032,4.608099937438965,1,0.0,60.0,4,0,10.99940013885498,13.573236465454102,1,54.0,60.0,4,0,3,True
600,40.34144973754883,9.999999747378752e-05,1,0.0,60.0,4,0,80.01709747314453,9.999999747378752e-05,-1,66.0,59.720001220703125,4,0,3,True
660,39.44145202636719,9.999999747378752e-05,-1,0.0,59.30000305175781,4,0,46.4171028137207,9.999999747378752e-05,1,66.0,54.680023193359375,4,0,3,True
720,4.088674068450928,9.999999747378752e-05,-1,0.0,53.84001159667969,4,0,47.13335418701172,15.170099258422852,1,66.0,58.8800048828125,4,0,3,True
780,53.11407470703125,9.999999747378752e-05,1,0.0,58.03999328613281,4,0,50.280914306640625,26.45009994506836,-1,66.0,60.0,4,0,3,True
840,86.97431945800781,9.999999747378752e-05,-1,0.0,60.0,4,0,75.7042007446289,0.00010001659393310547,-1,66.0,60.0,4,0,3,True
