frame,p1_post_positionX,p1_post_positionY,p1_post_facingDirection,p1_post_percent,p1_post_shieldSize,p1_post_stocksRemaining,p1_post_lCancelStatus,p2_post_positionX,p2_post_positionY,p2_post_facingDirection,p2_post_percent,p2_post_shieldSize,p2_post_stocksRemaining,p2_post_lCancelStatus,stageId,winner
15,-40.282493591308594,20.800098419189453,-1,0.0,60.0,4,0,-20.814990997314453,31.050098419189453,1,0.0,60.0,4,0,32,True
30,-45.31974792480469,1.2160953283309937,-1,0.0,60.0,4,0,-3.4149837493896484,9.999999747378752e-05,1,0.0,60.0,4,0,32,True
45,-34.01386642456055,8.64009952545166,-1,0.0,60.0,4,0,16.76626968383789,8.20009994506836,1,0.0,60.0,4,0,32,True
60,-35.991241455078125,20.160099029541016,-1,0.0,60.0,4,0,35.73002243041992,9.999999747378752e-05,-1,0.0,60.0,4,0,32,True
75,-19.825796127319336,30.174097061157227,-1,0.0,60.0,4,0,43.621543884277344,10.45009994506836,-1,0.0,60.0,4,0,32,True
90,-2.0519213676452637,40.52409362792969,-1,0.0,60.0,4,0,46.05811309814453,9.999999747378752e-05,-1,0.0,60.0,4,0,32,True
105,-14.11529541015625,23.252098083496094,-1,0.0,60.0,4,0,47.579986572265625,9.999999747378752e-05,1,0.0,60.0,4,0,32,True
120,-3.0665464401245117,0.00010001659393310547,-1,0.0,60.0,4,0,49.84712219238281,9.999999747378752e-05,-1,0.0,60.0,4,0,32,True
135,10.928617477416992,9.999999747378752e-05,-1,0.0,59.720001220703125,4,0,40.39027786254883,9.999999747378752e-05,-1,0.0,60.0,4,0,32,True
150,21.678565979003906,9.999999747378752e-05,-1,0.0,58.46000671386719,4,0,62.18889236450195,9.999999747378752e-05,-1,0.0,60.0,4,0,32,True
165,33.112060546875,11.520100593566895,-1,0.0,59.51000213623047,4,0,48.55128860473633,4.340100288391113,-1,12.0,60.0,4,0,32,True
180,28.00343894958496,19.00809669494629,-1,0.0,60.0,4,0,61.430885314941406,9.999999747378752e-05,-1,12.0,59.44000244140625,4,0,32,True
195,38.81494140625,9.408092498779297,-1,0.0,60.0,4,0,62.05590057373047,18.63010025024414,-1,12.0,58.040008544921875,4,0,32,True
210,28.96044158935547,9.999999747378752e-05,-1,0.0,60.0,4,0,70.20914459228516,17.680099487304688,-1,12.0,59.090003967285156,4,0,32,True
225,40.79281234741211,7.620099067687988,-1,0.0,60.0,4,0,67.02789306640625,9.999999747378752e-05,-1,12.0,60.0,4,0,32,True
240,42.34593963623047,8.840097427368164,-1,0.0,60.0,4,0,66.56620788574219,6.853914260864258,-1,22.920000076293945,60.0,4,0,32,True
255,26.129056930541992,9.999999747378752e-05,-1,0.0,60.0,4,0,74.84066009521484,9.999999747378752e-05,-1,22.920000076293945,60.0,4,0,32,True
270,29.402175903320312,13.120099067687988,-1,0.0,60.0,4,0,44.85065460205078,9.999999747378752e-05,-1,22.920000076293945,60.0,4,0,32,True
285,17.325302124023438,20.800098419189453,-1,0.0,60.0,4,0,21.994577407836914,9.999999747378752e-05,-1,22.920000076293945,60.0,4,0,32,True
300,-2.5215742588043213,13.376093864440918,-1,0.0,60.0,4,0,1.0320796966552734,9.999999747378752e-05,-1,22.920000076293945,60.0,4,0,32,True
315,-13.929075241088867,9.999999747378752e-05,-1,0.0,60.0,4,0,5.854922294616699,6.502590179443359,-1,32.880001068115234,60.0,4,0,32,True
330,-17.489700317382812,9.999999747378752e-05,-1,0.0,60.0,4,0,17.65862274169922,9.999999747378752e-05,1,32.880001068115234,60.0,4,0,32,True
