frame,p1_post_positionX,p1_post_positionY,p1_post_facingDirection,p1_post_percent,p1_post_shieldSize,p1_post_stocksRemaining,p1_post_lCancelStatus,p2_post_positionX,p2_post_positionY,p2_post_facingDirection,p2_post_percent,p2_post_shieldSize,p2_post_stocksRemaining,p2_post_lCancelStatus,stageId,winner
60,-26.93775177001953,9.999999747378752e-05,-1,0.0,60.0,4,0,-6.1915483474731445,60.01009750366211,-1,0.0,60.0,4,0,31,False
120,-50.6956901550293,9.999999747378752e-05,-1,0.0,60.0,4,0,0.3101559281349182,78.14210510253906,-1,0.0,60.0,4,0,31,False
180,-25.245275497436523,20.416099548339844,-1,0.0,60.0,4,0,24.693321228027344,9.999999747378752e-05,-1,0.0,60.0,4,0,31,False
240,-26.306848526000977,9.999999747378752e-05,-1,3.0,60.0,4,0,24.730281829833984,9.999999747378752e-05,-1,0.0,60.0,4,0,31,False
300,-9.236978530883789,14.080099105834961,-1,3.0,60.0,4,0,33.3216438293457,9.999999747378752e-05,-1,0.0,60.0,4,0,31,False
360,18.673898696899414,9.999999747378752e-05,-1,3.0,60.0,4,0,39.790164947509766,9.999999747378752e-05,-1,12.0,58.32000732421875,4,0,31,False
420,2.4416491985321045,3.1361000537872314,-1,3.0,60.0,4,0,43.210166931152344,27.20009994506836,-1,12.0,50.480010986328125,4,0,31,False
480,49.95928192138672,4.610099792480469,1,3.0,60.0,4,0,-0.6065961122512817,9.999999747378752e-05,-1,12.0,54.67999267578125,4,0,31,False
540,23.142528533935547,19.840097427368164,1,3.0,60.0,4,0,-20.39377784729004,9.999999747378752e-05,-1,12.0,56.77998352050781,4,0,31,False
600,22.27662467956543,9.999999747378752e-05,-1,3.0,60.0,4,0,-20.969852447509766,9.999999747378752e-05,1,12.0,60.0,4,0,31,False
660,15.055631637573242,9.999999747378752e-05,-1,12.0,60.0,4,0,7.951580047607422,9.999999747378752e-05,-1,22.920000076293945,60.0,4,0,31,False
720,-37.75999450683594,1.9200934171676636,-1,12.0,60.0,4,0,-14.016851425170898,31.28009796142578,1,34.91999816894531,60.0,4,0,31,False
780,-44.42725372314453,9.999999747378752e-05,-1,12.0,60.0,4,0,4.40144681930542,9.999999747378752e-05,-1,34.91999816894531,60.0,4,0,31,False
840,3.6864912509918213,0.32009148597717285,-1,12.0,60.0,4,0,0.5148646235466003,9.999999747378752e-05,1,46.91999816894531,60.0,4,0,31,False
900,7.3014936447143555,9.999999747378752e-05,-1,12.0,56.1098747253418,4,0,0.3248644471168518,9.999999747378752e-05,1,46.91999816894531,51.0400390625,4,0,31,False
960,29.34187126159668,20.416099548339844,-1,12.0,60.0,4,0,60.10462188720703,23.437496185302734,1,57.91999816894531,55.240020751953125,4,0,31,False
1020,0.442634642124176,10.406085968017578,-1,12.0,60.0,4,0,35.77687072753906,27.20009994506836,1,57.91999816894531,57.34001159667969,4,0,31,False
1080,-16.36531639099121,9.999999747378752e-05,-1,12.0,60.0,4,0,42.71025848388672,3.6800999641418457,-1,57.91999816894531,60.0,4,0,31,False
1140,-19.79769515991211,12.096098899841309,-1,12.0,60.0,4,0,42.71025848388672,6.000098705291748,-1,57.91999816894531,60.0,4,0,31,False
1200,27.611804962158203,9.999999747378752e-05,-1,17.280000686645508,60.0,4,0,49.23476791381836,23.000099182128906,-1,57.91999816894531,57.62001037597656,4,0,31,False
1260,3.5466814041137695,9.999999747378752e-05,-1,17.280000686645508,57.480010986328125,4,0,-4.463250160217285,15.340106010437012,-1,57.91999816894531,60.0,4,0,31,False
1320,-27.42409324645996,9.999999747378752e-05,1,17.280000686645508,49.640018463134766,4,0,-43.18592071533203,9.999999747378752e-05,1,57.91999816894531,60.0,4,0,31,False
1380,-35.130828857421875,4.608099937438965,-1,17.280000686645508,53.84000015258789,4,0,-13.137249946594238,9.999999747378752e-05,-1,57.91999816894531,60.0,4,0,31,False
1440,7.3254241943359375,9.999999747378752e-05,1,17.280000686645508,58.039981842041016,4,0,6.02603006362915,53.670101165771484,-1,57.91999816894531,60.0,4,0,31,False
1500,17.866416931152344,9.999999747378752e-05,1,17.280000686645508,60.0,4,0,-53.31721496582031,9.999999747378752e-05,1,68.5999984741211,60.0,4,0,31,False
1560,-25.915451049804688,9.999999747378752e-05,1,17.280000686645508,60.0,4,0,-42.86197280883789,10.807411193847656,1,78.43999481201172,60.0,4,0,31,False
1620,-38.090328216552734,12.736095428466797,1,17.280000686645508,60.0,4,0,-93.56389617919922,21.51668930053711,1,78.43999481201172,60.0,4,0,31,False
1680,-5.048582553863525,9.999999747378752e-05,1,17.280000686645508,60.0,4,0,-8.567864418029785,9.999999747378752e-05,1,95.43999481201172,60.0,4,0,31,False
1740,-7.053582668304443,19.008098602294922,1,17.280000686645508,60.0,4,0,-187.64407348632812,42.96868896484375,1,95.43999481201172,60.0,4,0,31,False
1800,-49.12887191772461,29.122095108032227,1,17.280000686645508,60.0,4,0,-224.29193115234375,22.634672164916992,1,95.43999481201172,60.0,3,0,31,False
1860,-19.99722671508789,27.20009994506836,-1,17.280000686645508,60.0,4,0,-12.0,98.66661071777344,1,0.0,60.0,3,0,31,False
1920,-54.18435287475586,62.424095153808594,-1,17.280000686645508,60.0,4,0,-39.37688064575195,3.6800999641418457,-1,0.0,60.0,3,0,31,False
1980,-68.5029525756836,35.37212371826172,-1,17.280000686645508,60.0,4,0,-14.457319259643555,7.130100250244141,1,0.0,60.0,3,0,31,False
2040,-30.571582794189453,16.576099395751953,-1,20.280000686645508,60.0,4,0,23.57620620727539,31.050098419189453,-1,0.0,60.0,3,0,31,False
2100,8.508021354675293,29.554088592529297,1,20.280000686645508,60.0,4,0,2.6518361568450928,54.40010070800781,-1,0.0,60.0,3,0,31,False
2160,53.38699722290039,27.74932861328125,-1,29.280000686645508,60.0,4,0,16.635337829589844,9.999999747378752e-05,-1,0.0,60.0,3,0,31,False
2220,83.28352355957031,-20.25611114501953,-1,29.280000686645508,60.0,4,0,32.56119918823242,47.27008819580078,1,0.0,60.0,3,0,31,False
2280,71.69559478759766,1.4758588075637817,-1,29.280000686645508,60.0,4,0,4.925090312957764,10.360099792480469,1,0.0,60.0,3,0,31,False
2340,68.01364135742188,41.8482780456543,-1,41.279998779296875,60.0,4,0,53.90410232543945,27.20009994506836,1,0.0,60.0,3,0,31,False
2400,78.20355224609375,33.83684539794922,-1,41.279998779296875,60.0,4,0,55.184356689453125,24.320100784301758,1,0.0,56.22001647949219,3,0,31,False
2460,27.23064613342285,53.628746032714844,-1,45.099998474121094,60.0,4,0,42.243980407714844,9.999999747378752e-05,1,0.0,55.870018005371094,3,0,31,False
2520,0.5946669578552246,138.68704223632812,-1,61.93000030517578,60.0,4,0,3.939192533493042,54.40010070800781,-1,0.0,60.0,3,0,31,False
2580,-48.499755859375,182.27243041992188,-1,62.93000030517578,60.0,4,0,5.636443138122559,54.40010070800781,1,0.0,60.0,3,0,31,False
2640,-17.783184051513672,90.61349487304688,-1,62.93000030517578,60.0,4,0,4.854941368103027,54.40010070800781,-1,0.0,60.0,3,0,31,False
2700,-26.048477172851562,44.949546813964844,-1,62.93000030517578,60.0,4,0,-43.41482925415039,27.20009994506836,-1,0.0,60.0,3,0,31,False
