frame,p1_post_positionX,p1_post_positionY,p1_post_facingDirection,p1_post_percent,p1_post_shieldSize,p1_post_stocksRemaining,p1_post_lCancelStatus,p2_post_positionX,p2_post_positionY,p2_post_facingDirection,p2_post_percent,p2_post_shieldSize,p2_post_stocksRemaining,p2_post_lCancelStatus,stageId,winner
15,22.670032501220703,14.461256980895996,1,9.0,60.0,4,0,38.85449981689453,27.20009994506836,-1,0.0,60.0,4,0,31,False
30,9.451278686523438,9.999999747378752e-05,1,9.0,60.0,4,0,38.45068359375,27.20009994506836,-1,0.0,60.0,4,0,31,False
45,1.2673543691635132,9.999999747378752e-05,1,9.0,60.0,4,0,37.81391906738281,27.20009994506836,-1,0.0,60.0,4,0,31,False
60,-6.697079181671143,1.0500999689102173,-1,9.0,60.0,4,0,13.62516975402832,37.82010269165039,-1,0.0,60.0,4,0,31,False
75,-11.504742622375488,8.56849479675293,1,17.189998626708984,60.0,4,0,-1.6565840244293213,7.0501017570495605,-1,0.0,60.0,4,0,31,False
90,-21.469478607177734,3.9792351722717285,1,22.189998626708984,60.0,4,0,-10.434591293334961,9.999999747378752e-05,-1,0.0,60.0,4,0,31,False
105,-48.353572845458984,9.999999747378752e-05,1,22.189998626708984,60.0,4,0,-17.83680534362793,9.999999747378752e-05,-1,0.0,60.0,4,0,31,False
120,-71.58728790283203,-0.19190002977848053,1,22.189998626708984,60.0,4,0,-20.69940948486328,5.610099792480469,1,0.0,60.0,4,0,31,False
135,-73.0999984741211,-9.399999618530273,1,22.189998626708984,60.0,4,0,-5.971693992614746,0.00010013580322265625,-1,0.0,60.0,4,0,31,False
150,-78.96159362792969,1.3039987087249756,-1,22.189998626708984,60.0,4,0,-17.740406036376953,9.870100021362305,-1,0.0,60.0,4,0,31,False
165,-63.636985778808594,10.693995475769043,-1,22.189998626708984,60.0,4,0,-34.82564926147461,9.999999747378752e-05,1,0.0,60.0,4,0,31,False
180,-69.5283203125,3.535994052886963,-1,22.189998626708984,60.0,4,0,-33.304874420166016,10.650099754333496,1,0.0,60.0,4,0,31,False
195,-54.65229415893555,17.785991668701172,-1,22.189998626708984,60.0,4,0,-31.93837547302246,9.999999747378752e-05,1,0.0,60.0,4,0,31,False
210,-56.3426628112793,8.29798698425293,-1,22.189998626708984,60.0,4,0,-39.87662887573242,10.650099754333496,1,0.0,60.0,4,0,31,False
225,-64.66903686523438,9.999999747378752e-05,1,31.189998626708984,59.720001220703125,4,0,-45.66150665283203,9.999999747378752e-05,1,0.0,60.0,4,0,31,False
240,-67.66336059570312,9.999999747378752e-05,1,31.189998626708984,60.0,4,0,-46.33125686645508,2.100099802017212,1,0.0,60.0,4,0,31,False
255,-67.66336059570312,9.999999747378752e-05,1,44.839996337890625,60.0,4,0,-56.53163146972656,2.5600996017456055,1,0.0,60.0,4,0,31,False
270,-83.8629379272461,12.123848915100098,1,44.839996337890625,60.0,4,0,-59.786251068115234,9.999999747378752e-05,1,0.0,60.0,4,0,31,False
285,-101.28362274169922,12.526802062988281,1,44.839996337890625,60.0,4,0,-59.786251068115234,9.150099754333496,1,0.0,60.0,4,0,31,False
