frame,p1_post_positionX,p1_post_positionY,p1_post_facingDirection,p1_post_percent,p1_post_shieldSize,p1_post_stocksRemaining,p1_post_lCancelStatus,p2_post_positionX,p2_post_positionY,p2_post_facingDirection,p2_post_percent,p2_post_shieldSize,p2_post_stocksRemaining,p2_post_lCancelStatus,stageId,winner
60,-57.630859375,10.196083068847656,1,0.0,60.0,4,0,-39.88152313232422,28.9800968170166,-1,0.0,60.0,4,0,32,False
120,-48.596473693847656,4.466094493865967,1,0.0,60.0,4,0,-31.723533630371094,9.999999747378752e-05,-1,9.0,60.0,4,0,32,False
180,-64.35200500488281,6.006099700927734,-1,0.0,57.13001251220703,4,0,-14.75790786743164,9.999999747378752e-05,1,9.0,60.0,4,0,32,False
240,-76.9152603149414,9.999999747378752e-05,-1,0.0,57.62000274658203,4,0,-9.46711254119873,10.360099792480469,-1,9.0,60.0,4,0,32,False
300,-41.772647857666016,28.510087966918945,-1,3.0,59.719993591308594,4,0,-54.60336685180664,23.000099182128906,-1,9.0,60.0,4,0,32,False
360,-1.9715341329574585,9.999999747378752e-05,-1,17.0,60.0,4,0,-35.618839263916016,27.83009910583496,-1,9.0,60.0,4,0,32,False
420,-3.5412230491638184,9.999999747378752e-05,-1,17.0,60.0,4,0,6.267585754394531,9.999999747378752e-05,-1,9.0,60.0,4,0,32,False
480,3.278801441192627,9.999999747378752e-05,1,21.729999542236328,60.0,4,0,-2.5574092864990234,9.999999747378752e-05,-1,9.0,60.0,4,0,32,False
540,19.395505905151367,9.999999747378752e-05,1,21.729999542236328,60.0,4,0,29.77070426940918,9.999999747378752e-05,-1,9.0,60.0,4,0,32,False
600,60.602210998535156,25.302099227905273,1,21.729999542236328,60.0,4,0,16.912704467773438,9.999999747378752e-05,-1,9.0,60.0,4,0,32,False
660,57.686344146728516,53.220096588134766,1,21.729999542236328,60.0,4,0,28.025014877319336,9.999999747378752e-05,-1,9.0,60.0,4,0,32,False
720,86.59161376953125,31.65814971923828,-1,30.729999542236328,60.0,4,0,64.12255859375,28.980100631713867,-1,9.0,60.0,4,0,32,False
780,59.112022399902344,16.11818504333496,-1,30.729999542236328,60.0,4,0,37.579681396484375,8.20009994506836,-1,9.0,60.0,4,0,32,False
840,69.49607849121094,20.410097122192383,-1,33.57999801635742,59.87799072265625,4,0,11.63809871673584,10.650099754333496,1,9.0,60.0,4,0,32,False
900,69.95210266113281,44.6260871887207,1,33.57999801635742,60.0,4,0,63.215003967285156,9.999999747378752e-05,1,9.0,60.0,4,0,32,False
960,37.86949920654297,16.14720916748047,-1,33.57999801635742,60.0,4,0,58.81230545043945,10.35010051727295,1,9.0,55.59001922607422,4,0,32,False
1020,21.215152740478516,9.999999747378752e-05,-1,33.57999801635742,60.0,4,0,59.35205078125,9.999999747378752e-05,-1,21.0,59.790000915527344,4,0,32,False
1080,18.503150939941406,9.999999747378752e-05,-1,33.57999801635742,52.8599967956543,4,0,7.221380233764648,0.00010001659393310547,1,21.0,60.0,4,0,32,False
1140,47.62752914428711,20.60809898376465,-1,33.57999801635742,57.05997848510742,4,0,69.03115844726562,13.445003509521484,1,32.0,60.0,4,0,32,False
1200,63.95036697387695,22.286088943481445,-1,33.57999801635742,60.0,4,0,84.89229583740234,-2.2315478324890137,-1,43.040000915527344,60.0,4,0,32,False
1260,76.64816284179688,6.608099460601807,1,33.57999801635742,60.0,4,0,111.05062103271484,-32.333797454833984,-1,53.12000274658203,60.0,4,0,32,False
1320,88.4108657836914,-20.78495979309082,1,47.57999801635742,60.0,4,0,115.8197021484375,-50.135467529296875,-1,60.12000274658203,60.0,4,0,32,False
1380,109.6390151977539,-49.666961669921875,1,47.57999801635742,60.0,4,0,90.08175659179688,-100.02835083007812,-1,60.12000274658203,60.0,4,0,32,False
1440,101.30992889404297,-19.02297019958496,-1,47.57999801635742,60.0,4,0,56.41280746459961,-140.55145263671875,-1,60.12000274658203,60.0,3,0,32,False
1500,98.36428833007812,-2.294001579284668,-1,47.57999801635742,60.0,4,0,50.0,72.59996032714844,-1,0.0,60.0,3,0,32,False
1560,82.79690551757812,7.133786678314209,-1,47.57999801635742,60.0,4,0,70.37968444824219,0.00010001659393310547,-1,0.0,60.0,3,0,32,False
1620,113.31221008300781,15.049772262573242,-1,47.57999801635742,60.0,4,0,78.59152221679688,9.999999747378752e-05,-1,0.0,60.0,3,0,32,False
1680,91.59136962890625,-2.7965915203094482,-1,50.57999801635742,60.0,4,0,58.544132232666016,9.999999747378752e-05,1,0.0,60.0,3,0,32,False
1740,96.7455062866211,46.55377960205078,-1,50.57999801635742,60.0,4,0,43.250850677490234,9.999999747378752e-05,-1,0.0,60.0,3,0,32,False
1800,91.22030639648438,37.773780822753906,-1,50.57999801635742,60.0,4,0,39.3138313293457,48.81410217285156,1,0.0,60.0,3,0,32,False
1860,57.562992095947266,9.999999747378752e-05,-1,50.57999801635742,60.0,4,0,40.622901916503906,9.999999747378752e-05,1,0.0,60.0,3,0,32,False
1920,33.04669189453125,61.36487579345703,-1,54.39999771118164,60.0,4,0,45.81258010864258,9.999999747378752e-05,-1,0.0,60.0,3,0,32,False
1980,-27.632404327392578,153.174560546875,1,71.22999572753906,60.0,4,0,6.97594690322876,0.00010013580322265625,-1,0.0,60.0,3,0,32,False
2040,-102.56078338623047,184.42274475097656,1,72.22999572753906,60.0,4,0,-65.68721771240234,9.999999747378752e-05,1,0.0,59.44000244140625,3,0,32,False
2100,-118.32039642333984,96.51846313476562,1,73.22999572753906,60.0,4,0,-91.4726333618164,0.38410139083862305,1,0.0,60.0,3,0,32,False
2160,-111.84988403320312,21.476518630981445,1,73.22999572753906,60.0,4,0,-87.4856948852539,-14.399999618530273,1,0.0,60.0,3,0,32,False
2220,-90.70630645751953,-8.903679847717285,1,73.22999572753906,60.0,4,0,-66.9842529296875,9.999999747378752e-05,1,0.0,60.0,3,0,32,False
2280,-85.5656967163086,0.5859948396682739,-1,73.22999572753906,60.0,4,0,-52.41840362548828,9.999999747378752e-05,1,0.0,60.0,3,0,32,False
2340,-104.14845275878906,15.641986846923828,1,73.22999572753906,60.0,4,0,-69.0515365600586,20.930095672607422,1,0.0,60.0,3,0,32,False
2400,-95.5378189086914,-10.743999481201172,1,73.22999572753906,60.0,4,0,-43.19865417480469,9.999999747378752e-05,1,0.0,60.0,3,0,32,False
2460,-91.59136962890625,-2.7965915203094482,1,73.22999572753906,60.0,4,0,-40.38015365600586,9.999999747378752e-05,1,0.0,60.0,3,0,32,False
2520,-74.42241668701172,9.999999747378752e-05,1,73.22999572753906,60.0,4,1,-30.97165298461914,9.999999747378752e-05,1,0.0,60.0,3,0,32,False
2580,-84.5755386352539,7.360092639923096,1,73.22999572753906,60.0,4,0,-26.806949615478516,9.999999747378752e-05,1,0.0,60.0,3,0,32,False
2640,-82.12191009521484,9.999999747378752e-05,1,73.22999572753906,60.0,4,0,-24.30583381652832,9.999999747378752e-05,1,0.0,60.0,3,0,32,False
2700,-87.05668640136719,-16.039899826049805,-1,76.0199966430664,60.0,4,0,-24.63458251953125,9.999999747378752e-05,1,0.0,60.0,3,0,32,False
2760,-90.26569366455078,-9.399999618530273,1,76.0199966430664,60.0,4,0,-27.02130889892578,9.999999747378752e-05,1,0.0,60.0,3,0,32,False
2820,-92.85419464111328,-10.039999961853027,1,76.0199966430664,60.0,4,0,-30.171117782592773,9.999999747378752e-05,1,0.0,60.0,3,0,32,False
2880,-56.02276611328125,24.923992156982422,1,76.0199966430664,60.0,4,0,-23.697513580322266,9.999999747378752e-05,1,0.0,60.0,3,0,32,False
2940,-15.143516540527344,38.669986724853516,1,76.0199966430664,60.0,4,0,-56.860721588134766,3.950098991394043,-1,0.0,60.0,3,0,32,False
3000,-72.9129867553711,9.999999747378752e-05,1,76.0199966430664,60.0,4,0,-70.29326629638672,10.020099639892578,1,0.0,60.0,3,0,32,False
3060,-91.37350463867188,5.2660980224609375,-1,76.0199966430664,60.0,4,0,-62.18263626098633,9.999999747378752e-05,-1,9.600000381469727,60.0,3,0,32,False
3120,-45.01945114135742,11.326085090637207,-1,76.0199966430664,60.0,4,0,-29.266855239868164,9.999999747378752e-05,1,9.600000381469727,60.0,3,0,32,False
3180,-27.7000675201416,9.999999747378752e-05,-1,76.0199966430664,59.02000427246094,4,0,-23.60055923461914,31.657854080200195,1,20.049999237060547,60.0,3,0,32,False
3240,3.850362539291382,26.780744552612305,1,76.0199966430664,60.0,4,0,-10.316933631896973,68.11042785644531,1,20.049999237060547,60.0,3,0,32,False
3300,26.83027458190918,12.606892585754395,-1,83.0199966430664,60.0,4,0,12.220442771911621,9.999999747378752e-05,1,20.049999237060547,60.0,3,0,32,False
3360,33.339996337890625,178.9783935546875,-1,101.0199966430664,60.0,4,0,30.520437240600586,9.999999747378752e-05,-1,20.049999237060547,60.0,3,0,32,False
3420,33.339996337890625,123.6888198852539,-1,101.0199966430664,60.0,4,0,36.280433654785156,9.999999747378752e-05,-1,20.049999237060547,60.0,3,0,32,False
3480,33.339996337890625,68.39966583251953,-1,101.0199966430664,60.0,4,0,33.323612213134766,9.999999747378752e-05,-1,20.049999237060547,60.0,3,0,32,False
3540,16.0,96.74999237060547,-1,0.0,60.0,3,0,-15.918950080871582,0.00010001659393310547,1,20.049999237060547,60.0,3,0,32,False
3600,-0.5512502193450928,30.408010482788086,-1,0.0,60.0,3,0,33.197509765625,9.999999747378752e-05,1,20.049999237060547,60.0,3,0,32,False
3660,42.126373291015625,7.050095558166504,1,0.0,60.0,3,0,59.24726104736328,9.999999747378752e-05,-1,20.049999237060547,59.44000244140625,3,0,32,False
3720,24.01708984375,0.33009302616119385,1,0.0,60.0,3,0,23.433242797851562,-2.719900131225586,-1,20.049999237060547,60.0,3,0,32,False
3780,-7.9799041748046875,9.999999747378752e-05,1,0.0,60.0,3,0,32.92223358154297,2.100099802017212,1,20.049999237060547,60.0,3,0,32,False
3840,-5.068539619445801,0.00010001659393310547,-1,2.7300000190734863,60.0,3,0,28.888477325439453,9.999999747378752e-05,1,20.049999237060547,60.0,3,0,32,False
3900,-3.752838134765625,34.146095275878906,1,2.7300000190734863,60.0,3,0,21.17100715637207,9.999999747378752e-05,1,20.049999237060547,60.0,3,0,32,False
