frame,p1_post_positionX,p1_post_positionY,p1_post_facingDirection,p1_post_percent,p1_post_shieldSize,p1_post_stocksRemaining,p1_post_lCancelStatus,p2_post_positionX,p2_post_positionY,p2_post_facingDirection,p2_post_percent,p2_post_shieldSize,p2_post_stocksRemaining,p2_post_lCancelStatus,stageId,winner
60,27.73477554321289,0.008899999782443047,1,0.0,41.61175537109375,4,0,38.598392486572266,0.008899999782443047,-1,0.0,60.0,4,0,28,False
120,40.682273864746094,14.984899520874023,1,0.0,42.31175231933594,4,0,65.10452270507812,0.008899999782443047,1,0.0,58.600006103515625,4,0,28,False
180,2.51297926902771,13.45434856414795,1,9.0,46.51173400878906,4,0,47.24924087524414,0.008899999782443047,1,0.0,60.0,4,0,28,False
240,-4.920661449432373,9.038896560668945,1,9.0,49.31172180175781,4,0,24.062559127807617,0.008900165557861328,1,0.0,60.0,4,1,28,False
300,4.410232067108154,0.008899999782443047,-1,9.0,51.37385177612305,4,0,13.689927101135254,0.008899927139282227,1,0.0,60.0,4,0,28,False
360,18.79022979736328,8.078898429870605,-1,9.0,55.57383346557617,4,0,57.07368469238281,0.008899999782443047,1,0.0,58.46000671386719,4,0,28,False
420,40.847740173339844,1.1168969869613647,-1,9.0,59.7738151550293,4,0,63.143043518066406,0.008899999782443047,-1,0.0,60.0,4,0,28,False
480,49.979007720947266,0.008899999782443047,1,9.0,59.160003662109375,4,0,-15.052830696105957,3.65889835357666,1,6.0,60.0,4,0,28,False
540,31.74247932434082,0.008899999782443047,1,14.729999542236328,55.6493034362793,4,0,-11.805379867553711,45.41090393066406,1,6.0,60.0,4,0,28,False
600,49.39363098144531,0.008899999782443047,1,14.729999542236328,58.44929122924805,4,0,31.07883644104004,0.008899999782443047,-1,6.0,60.0,4,0,28,False
660,11.807002067565918,0.008899999782443047,1,17.219999313354492,56.349300384521484,4,0,-10.751603126525879,7.358897686004639,1,6.0,60.0,4,0,28,False
720,27.538000106811523,22.198890686035156,1,19.5,60.0,4,0,-6.433477401733398,50.61690139770508,1,6.0,60.0,4,0,28,False
780,7.824689865112305,0.008899999782443047,1,19.5,54.4000244140625,4,0,32.95218276977539,4.185399055480957,-1,6.0,60.0,4,0,28,False
840,10.38067626953125,31.65460205078125,-1,31.5,56.63301467895508,4,0,-3.9492664337158203,26.458900451660156,-1,6.0,60.0,4,0,28,False
900,2.2910993099212646,3.824899673461914,1,31.5,60.0,4,0,-40.0098876953125,0.008899999782443047,1,6.0,60.0,4,0,28,False
960,-38.66954803466797,0.008899999782443047,1,31.5,60.0,4,0,-53.176971435546875,0.008899999782443047,1,25.920000076293945,60.0,4,0,28,False
